"cowcode","iso3","country","etype2","etype3","parliamentarism","timing1","timing2","reason","held_date","held_year","held_month","held_wday","sche_date","sche_year","sche_month","sche_wday","dif_days","termlength","days_fr_last","concurrent"
2,"USA","United States","legislative","lower house","presidentialism",1,0,0,1946-11-05,1946,11,"Tuesday",1946-11-05,1946,11,"Tuesday",0,2,NA,0
2,"USA","United States","legislative","lower house","presidentialism",1,0,0,1948-11-02,1948,11,"Tuesday",1948-11-02,1948,11,"Tuesday",0,2,728,1
2,"USA","United States","presidential","presidential","presidentialism",1,0,0,1948-11-02,1948,11,"Tuesday",1948-11-02,1948,11,"Tuesday",0,4,NA,1
2,"USA","United States","legislative","lower house","presidentialism",1,0,0,1950-11-07,1950,11,"Tuesday",1950-11-07,1950,11,"Tuesday",0,2,735,0
2,"USA","United States","legislative","lower house","presidentialism",1,0,0,1952-11-04,1952,11,"Tuesday",1952-11-04,1952,11,"Tuesday",0,2,728,1
2,"USA","United States","presidential","presidential","presidentialism",1,0,0,1952-11-04,1952,11,"Tuesday",1952-11-04,1952,11,"Tuesday",0,4,1463,1
2,"USA","United States","legislative","lower house","presidentialism",1,0,0,1954-11-02,1954,11,"Tuesday",1954-11-02,1954,11,"Tuesday",0,2,728,0
2,"USA","United States","legislative","lower house","presidentialism",1,0,0,1956-11-06,1956,11,"Tuesday",1956-11-06,1956,11,"Tuesday",0,2,735,1
2,"USA","United States","presidential","presidential","presidentialism",1,0,0,1956-11-06,1956,11,"Tuesday",1956-11-06,1956,11,"Tuesday",0,4,1463,1
2,"USA","United States","legislative","lower house","presidentialism",1,0,0,1958-11-04,1958,11,"Tuesday",1958-11-04,1958,11,"Tuesday",0,2,728,0
2,"USA","United States","legislative","lower house","presidentialism",1,0,0,1960-11-08,1960,11,"Tuesday",1960-11-08,1960,11,"Tuesday",0,2,735,1
2,"USA","United States","presidential","presidential","presidentialism",1,0,0,1960-11-08,1960,11,"Tuesday",1960-11-08,1960,11,"Tuesday",0,4,1463,1
2,"USA","United States","legislative","lower house","presidentialism",1,0,0,1962-11-06,1962,11,"Tuesday",1962-11-06,1962,11,"Tuesday",0,2,728,0
2,"USA","United States","legislative","lower house","presidentialism",1,0,0,1964-11-03,1964,11,"Tuesday",1964-11-03,1964,11,"Tuesday",0,2,728,1
2,"USA","United States","presidential","presidential","presidentialism",1,0,0,1964-11-03,1964,11,"Tuesday",1964-11-03,1964,11,"Tuesday",0,4,1456,1
2,"USA","United States","legislative","lower house","presidentialism",1,0,0,1966-11-08,1966,11,"Tuesday",1966-11-08,1966,11,"Tuesday",0,2,735,0
2,"USA","United States","legislative","lower house","presidentialism",1,0,0,1968-11-05,1968,11,"Tuesday",1968-11-05,1968,11,"Tuesday",0,2,728,1
2,"USA","United States","presidential","presidential","presidentialism",1,0,0,1968-11-05,1968,11,"Tuesday",1968-11-05,1968,11,"Tuesday",0,4,1463,1
2,"USA","United States","legislative","lower house","presidentialism",1,0,0,1970-11-03,1970,11,"Tuesday",1970-11-03,1970,11,"Tuesday",0,2,728,0
2,"USA","United States","legislative","lower house","presidentialism",1,0,0,1972-11-07,1972,11,"Tuesday",1972-11-07,1972,11,"Tuesday",0,2,735,1
2,"USA","United States","presidential","presidential","presidentialism",1,0,0,1972-11-07,1972,11,"Tuesday",1972-11-07,1972,11,"Tuesday",0,4,1463,1
2,"USA","United States","legislative","lower house","presidentialism",1,0,0,1974-11-05,1974,11,"Tuesday",1974-11-05,1974,11,"Tuesday",0,2,728,0
2,"USA","United States","legislative","lower house","presidentialism",1,0,0,1976-11-02,1976,11,"Tuesday",1976-11-02,1976,11,"Tuesday",0,2,728,1
2,"USA","United States","presidential","presidential","presidentialism",1,0,0,1976-11-02,1976,11,"Tuesday",1976-11-02,1976,11,"Tuesday",0,4,1456,1
2,"USA","United States","legislative","lower house","presidentialism",1,0,0,1978-11-07,1978,11,"Tuesday",1978-11-07,1978,11,"Tuesday",0,2,735,0
2,"USA","United States","legislative","lower house","presidentialism",1,0,0,1980-11-04,1980,11,"Tuesday",1980-11-04,1980,11,"Tuesday",0,2,728,1
2,"USA","United States","presidential","presidential","presidentialism",1,0,0,1980-11-04,1980,11,"Tuesday",1980-11-04,1980,11,"Tuesday",0,4,1463,1
2,"USA","United States","legislative","lower house","presidentialism",1,0,0,1982-11-02,1982,11,"Tuesday",1982-11-02,1982,11,"Tuesday",0,2,728,0
2,"USA","United States","legislative","lower house","presidentialism",1,0,0,1984-11-06,1984,11,"Tuesday",1984-11-06,1984,11,"Tuesday",0,2,735,1
2,"USA","United States","presidential","presidential","presidentialism",1,0,0,1984-11-06,1984,11,"Tuesday",1984-11-06,1984,11,"Tuesday",0,4,1463,1
2,"USA","United States","legislative","lower house","presidentialism",1,0,0,1986-11-04,1986,11,"Tuesday",1986-11-04,1986,11,"Tuesday",0,2,728,0
2,"USA","United States","legislative","lower house","presidentialism",1,0,0,1988-11-08,1988,11,"Tuesday",1988-11-08,1988,11,"Tuesday",0,2,735,1
2,"USA","United States","presidential","presidential","presidentialism",1,0,0,1988-11-08,1988,11,"Tuesday",1988-11-08,1988,11,"Tuesday",0,4,1463,1
2,"USA","United States","legislative","lower house","presidentialism",1,0,0,1990-11-06,1990,11,"Tuesday",1990-11-06,1990,11,"Tuesday",0,2,728,0
2,"USA","United States","legislative","lower house","presidentialism",1,0,0,1992-11-03,1992,11,"Tuesday",1992-11-03,1992,11,"Tuesday",0,2,728,1
2,"USA","United States","presidential","presidential","presidentialism",1,0,0,1992-11-03,1992,11,"Tuesday",1992-11-03,1992,11,"Tuesday",0,4,1456,1
2,"USA","United States","legislative","lower house","presidentialism",1,0,0,1994-11-08,1994,11,"Tuesday",1994-11-08,1994,11,"Tuesday",0,2,735,0
2,"USA","United States","legislative","lower house","presidentialism",1,0,0,1996-11-05,1996,11,"Tuesday",1996-11-05,1996,11,"Tuesday",0,2,728,1
2,"USA","United States","presidential","presidential","presidentialism",1,0,0,1996-11-05,1996,11,"Tuesday",1996-11-05,1996,11,"Tuesday",0,4,1463,1
2,"USA","United States","legislative","lower house","presidentialism",1,0,0,1998-11-03,1998,11,"Tuesday",1998-11-03,1998,11,"Tuesday",0,2,728,0
2,"USA","United States","legislative","lower house","presidentialism",1,0,0,2000-11-07,2000,11,"Tuesday",2000-11-07,2000,11,"Tuesday",0,2,735,1
2,"USA","United States","presidential","presidential","presidentialism",1,0,0,2000-11-07,2000,11,"Tuesday",2000-11-07,2000,11,"Tuesday",0,4,1463,1
2,"USA","United States","legislative","lower house","presidentialism",1,0,0,2002-11-05,2002,11,"Tuesday",2002-11-05,2002,11,"Tuesday",0,2,728,0
2,"USA","United States","legislative","lower house","presidentialism",1,0,0,2004-11-02,2004,11,"Tuesday",2004-11-02,2004,11,"Tuesday",0,2,728,1
2,"USA","United States","presidential","presidential","presidentialism",1,0,0,2004-11-02,2004,11,"Tuesday",2004-11-02,2004,11,"Tuesday",0,4,1456,1
2,"USA","United States","legislative","lower house","presidentialism",1,0,0,2006-11-07,2006,11,"Tuesday",2006-11-07,2006,11,"Tuesday",0,2,735,0
2,"USA","United States","legislative","lower house","presidentialism",1,0,0,2008-11-04,2008,11,"Tuesday",2008-11-04,2008,11,"Tuesday",0,2,728,1
2,"USA","United States","presidential","presidential","presidentialism",1,0,0,2008-11-04,2008,11,"Tuesday",2008-11-04,2008,11,"Tuesday",0,4,1463,1
2,"USA","United States","legislative","lower house","presidentialism",1,0,0,2010-11-02,2010,11,"Tuesday",2010-11-02,2010,11,"Tuesday",0,2,728,0
2,"USA","United States","legislative","lower house","presidentialism",1,0,0,2012-11-06,2012,11,"Tuesday",2012-11-06,2012,11,"Tuesday",0,2,735,1
2,"USA","United States","presidential","presidential","presidentialism",1,0,0,2012-11-06,2012,11,"Tuesday",2012-11-06,2012,11,"Tuesday",0,4,1463,1
2,"USA","United States","legislative","lower house","presidentialism",1,0,0,2014-11-04,2014,11,"Tuesday",2014-11-04,2014,11,"Tuesday",0,2,728,0
2,"USA","United States","legislative","lower house","presidentialism",1,0,0,2016-11-08,2016,11,"Tuesday",2016-11-08,2016,11,"Tuesday",0,2,735,1
2,"USA","United States","presidential","presidential","presidentialism",1,0,0,2016-11-08,2016,11,"Tuesday",2016-11-08,2016,11,"Tuesday",0,4,1463,1
2,"USA","United States","legislative","lower house","presidentialism",1,0,0,2018-11-06,2018,11,"Tuesday",2018-11-06,2018,11,"Tuesday",0,2,728,0
2,"USA","United States","legislative","lower house","presidentialism",1,0,0,2020-11-03,2020,11,"Tuesday",2020-11-03,2020,11,"Tuesday",0,2,728,1
2,"USA","United States","presidential","presidential","presidentialism",1,0,0,2020-11-03,2020,11,"Tuesday",2020-11-03,2020,11,"Tuesday",0,4,1456,1
2,"USA","United States","legislative","lower house","presidentialism",1,0,0,2022-11-08,2022,11,"Tuesday",2022-11-08,2022,11,"Tuesday",0,2,735,0
20,"CAN","Canada","legislative","lower house","parliamentarism",2,1,9,1945-06-11,1945,6,"Monday",1945-03-26,1945,3,"Monday",77,5,NA,0
20,"CAN","Canada","legislative","lower house","parliamentarism",2,-1,9,1949-06-27,1949,6,"Monday",1950-06-11,1950,6,"Sunday",-349,5,1477,0
20,"CAN","Canada","legislative","lower house","parliamentarism",2,-1,9,1953-08-10,1953,8,"Monday",1954-06-27,1954,6,"Sunday",-321,5,1505,0
20,"CAN","Canada","legislative","lower house","parliamentarism",2,-1,9,1957-06-10,1957,6,"Monday",1958-08-10,1958,8,"Sunday",-426,5,1400,0
20,"CAN","Canada","legislative","lower house","parliamentarism",2,-1,9,1958-03-31,1958,3,"Monday",1962-06-10,1962,6,"Sunday",-1532,5,294,0
20,"CAN","Canada","legislative","lower house","parliamentarism",2,-1,9,1962-06-18,1962,6,"Monday",1963-03-31,1963,3,"Sunday",-286,5,1540,0
20,"CAN","Canada","legislative","lower house","parliamentarism",2,-1,9,1963-04-08,1963,4,"Monday",1967-06-18,1967,6,"Sunday",-1532,5,294,0
20,"CAN","Canada","legislative","lower house","parliamentarism",2,-1,9,1965-11-08,1965,11,"Monday",1968-04-08,1968,4,"Monday",-882,5,945,0
20,"CAN","Canada","legislative","lower house","parliamentarism",2,-1,9,1968-06-25,1968,6,"Tuesday",1970-11-08,1970,11,"Sunday",-866,5,960,0
20,"CAN","Canada","legislative","lower house","parliamentarism",2,-1,9,1972-10-30,1972,10,"Monday",1973-06-25,1973,6,"Monday",-238,5,1588,0
20,"CAN","Canada","legislative","lower house","parliamentarism",2,-1,9,1974-07-08,1974,7,"Monday",1977-10-30,1977,10,"Sunday",-1210,5,616,0
20,"CAN","Canada","legislative","lower house","parliamentarism",2,-1,9,1979-05-22,1979,5,"Tuesday",1979-05-22,1979,5,"Tuesday",0,5,1779,0
20,"CAN","Canada","legislative","lower house","parliamentarism",2,-1,9,1980-02-18,1980,2,"Monday",1984-05-22,1984,5,"Tuesday",-1555,5,272,0
20,"CAN","Canada","legislative","lower house","parliamentarism",2,-1,9,1984-09-04,1984,9,"Tuesday",1985-02-18,1985,2,"Monday",-167,5,1660,0
20,"CAN","Canada","legislative","lower house","parliamentarism",2,-1,9,1988-11-21,1988,11,"Monday",1989-09-04,1989,9,"Monday",-287,5,1539,0
20,"CAN","Canada","legislative","lower house","parliamentarism",2,-1,9,1993-10-25,1993,10,"Monday",1993-10-25,1993,10,"Monday",0,5,1799,0
20,"CAN","Canada","legislative","lower house","parliamentarism",2,-1,9,1997-06-02,1997,6,"Monday",1997-06-02,1997,6,"Monday",0,5,1316,0
20,"CAN","Canada","legislative","lower house","parliamentarism",2,-1,9,2000-11-27,2000,11,"Monday",2000-11-27,2000,11,"Monday",0,5,1274,0
20,"CAN","Canada","legislative","lower house","parliamentarism",2,-1,9,2004-06-28,2004,6,"Monday",2004-06-28,2004,6,"Monday",0,5,1309,0
20,"CAN","Canada","legislative","lower house","parliamentarism",2,-1,9,2006-01-23,2006,1,"Monday",2009-10-19,2009,10,"Monday",-1365,5,574,0
20,"CAN","Canada","legislative","lower house","parliamentarism",2,-1,9,2008-10-14,2008,10,"Tuesday",2011-01-23,2011,1,"Sunday",-831,4,995,0
20,"CAN","Canada","legislative","lower house","parliamentarism",2,-1,7,2011-05-02,2011,5,"Monday",2011-05-02,2011,5,"Monday",0,4,930,0
20,"CAN","Canada","legislative","lower house","parliamentarism",1,0,0,2015-10-19,2015,10,"Monday",2015-10-19,2015,10,"Monday",0,4,1631,0
20,"CAN","Canada","legislative","lower house","parliamentarism",1,0,0,2019-10-21,2019,10,"Monday",2019-10-21,2019,10,"Monday",0,4,1463,0
20,"CAN","Canada","legislative","lower house","parliamentarism",2,-1,9,2021-09-20,2021,9,"Monday",2023-10-21,2023,10,"Saturday",-761,4,700,0
40,"CUB","Cuba","legislative","lower house","presidentialism",1,0,0,1946-06-01,1946,6,"Saturday",1946-06-01,1946,6,"Saturday",0,2,NA,0
40,"CUB","Cuba","legislative","lower house","presidentialism",1,0,0,1948-06-01,1948,6,"Tuesday",1948-06-01,1948,6,"Tuesday",0,2,731,0
40,"CUB","Cuba","legislative","lower house","presidentialism",1,0,0,1950-06-01,1950,6,"Thursday",1950-06-01,1950,6,"Thursday",0,2,730,0
40,"CUB","Cuba","legislative","lower house","presidentialism",2,1,3,1954-11-01,1954,11,"Monday",1952-06-01,1952,6,"Sunday",883,2,1614,0
40,"CUB","Cuba","legislative","lower house","presidentialism",1,0,0,1956-11-01,1956,11,"Thursday",1956-11-01,1956,11,"Thursday",0,2,731,0
40,"CUB","Cuba","legislative","lower house","presidentialism",1,0,0,1958-11-03,1958,11,"Monday",1958-11-03,1958,11,"Monday",0,2,732,0
40,"CUB","Cuba","legislative","lower house","parliamentarism",2,1,1,1993-02-24,1993,2,"Wednesday",NA,NA,NA,NA,NA,5,12532,0
40,"CUB","Cuba","legislative","lower house","parliamentarism",1,0,0,1998-01-11,1998,1,"Sunday",1998-01-11,1998,1,"Sunday",0,5,1782,0
40,"CUB","Cuba","legislative","lower house","parliamentarism",1,0,0,2003-01-19,2003,1,"Sunday",2003-01-19,2003,1,"Sunday",0,5,1834,0
40,"CUB","Cuba","legislative","lower house","parliamentarism",1,0,0,2008-01-20,2008,1,"Sunday",2008-01-20,2008,1,"Sunday",0,5,1827,0
40,"CUB","Cuba","legislative","lower house","parliamentarism",1,0,0,2013-02-03,2013,2,"Sunday",2013-02-03,2013,2,"Sunday",0,5,1841,0
40,"CUB","Cuba","legislative","lower house","parliamentarism",1,0,0,2018-03-11,2018,3,"Sunday",2018-03-11,2018,3,"Sunday",0,5,1862,0
40,"CUB","Cuba","legislative","lower house","parliamentarism",1,0,0,2023-03-26,2023,3,"Sunday",2023-03-10,2023,3,"Friday",16,5,1841,0
41,"HTI","Haiti","legislative","lower house","parliamentarism",2,1,9,1946-05-12,1946,5,"Sunday",1944-12-15,1944,12,"Friday",513,4,NA,0
41,"HTI","Haiti","legislative","lower house","presidentialism",2,1,3,1950-10-08,1950,10,"Sunday",1950-05-12,1950,5,"Friday",149,4,1610,1
41,"HTI","Haiti","presidential","presidential","presidentialism",3,NA,1,1950-10-08,1950,10,"Sunday",NA,NA,NA,NA,NA,5,NA,1
41,"HTI","Haiti","legislative","lower house","presidentialism",2,1,9,1955-01-09,1955,1,"Sunday",1954-10-08,1954,10,"Friday",93,4,1554,0
41,"HTI","Haiti","legislative","lower house","presidentialism",3,NA,1,1957-09-22,1957,9,"Sunday",NA,NA,NA,NA,NA,6,987,1
41,"HTI","Haiti","presidential","presidential","presidentialism",2,1,9,1957-09-22,1957,9,"Sunday",1955-10-08,1955,10,"Saturday",715,5,2541,1
41,"HTI","Haiti","legislative","lower house","presidentialism",2,-1,9,1961-04-30,1961,4,"Sunday",1963-09-22,1963,9,"Sunday",-875,6,1316,0
41,"HTI","Haiti","legislative","lower house","presidentialism",3,NA,9,1964-06-14,1964,6,"Sunday",NA,NA,NA,NA,NA,6,1141,1
41,"HTI","Haiti","presidential","presidential","presidentialism",2,1,9,1964-06-14,1964,6,"Sunday",1963-09-22,1963,9,"Sunday",266,NA,2457,1
41,"HTI","Haiti","legislative","lower house","presidentialism",2,-1,9,1967-01-22,1967,1,"Sunday",1970-06-14,1970,6,"Sunday",-1239,6,952,0
41,"HTI","Haiti","legislative","lower house","presidentialism",1,0,0,1973-02-11,1973,2,"Sunday",1973-02-11,1973,2,"Sunday",0,6,2212,0
41,"HTI","Haiti","legislative","lower house","presidentialism",1,0,0,1979-02-11,1979,2,"Sunday",1979-02-11,1979,2,"Sunday",0,6,2191,0
41,"HTI","Haiti","legislative","lower house","presidentialism",2,-1,9,1984-02-12,1984,2,"Sunday",1985-02-11,1985,2,"Monday",-365,6,1827,0
41,"HTI","Haiti","legislative","lower house","presidentialism",2,-1,3,1987-11-29,1987,11,"Sunday",1989-02-12,1989,2,"Sunday",-441,4,1386,1
41,"HTI","Haiti","presidential","presidential","presidentialism",2,-1,3,1987-11-29,1987,11,"Sunday",1990-02-12,1990,2,"Monday",-806,5,8568,1
41,"HTI","Haiti","legislative","lower house","presidentialism",2,-1,2,1988-01-17,1988,1,"Sunday",1991-11-29,1991,11,"Friday",-1412,4,49,1
41,"HTI","Haiti","presidential","presidential","presidentialism",2,-1,2,1988-01-17,1988,1,"Sunday",1991-11-29,1991,11,"Friday",-1412,5,49,1
41,"HTI","Haiti","legislative","lower house","presidentialism",2,-1,9,1990-12-16,1990,12,"Sunday",1992-01-17,1992,1,"Friday",-397,4,1064,1
41,"HTI","Haiti","presidential","presidential","presidentialism",2,-1,3,1990-12-16,1990,12,"Sunday",1993-01-17,1993,1,"Sunday",-763,5,1064,1
41,"HTI","Haiti","legislative","lower house","presidentialism",2,1,3,1995-06-25,1995,6,"Sunday",1995-01-20,1995,1,"Friday",156,4,1652,0
41,"HTI","Haiti","presidential","presidential","presidentialism",1,0,0,1995-12-17,1995,12,"Sunday",1995-12-17,1995,12,"Sunday",0,5,1827,0
41,"HTI","Haiti","legislative","lower house","presidentialism",3,1,9,2000-05-21,2000,5,"Sunday",1999-06-25,1999,6,"Friday",331,4,1792,0
41,"HTI","Haiti","presidential","presidential","presidentialism",1,0,0,2000-11-26,2000,11,"Sunday",2000-11-26,2000,11,"Sunday",0,5,1806,0
41,"HTI","Haiti","legislative","lower house","presidentialism",2,1,9,2006-02-07,2006,2,"Tuesday",2005-11-26,2005,11,"Saturday",73,4,2088,1
41,"HTI","Haiti","presidential","presidential","presidentialism",2,1,9,2006-02-07,2006,2,"Tuesday",2005-11-26,2005,11,"Saturday",73,5,1899,1
41,"HTI","Haiti","legislative","lower house","presidentialism",2,1,9,2010-11-28,2010,11,"Sunday",2010-02-28,2010,2,"Sunday",273,4,1755,1
41,"HTI","Haiti","presidential","presidential","presidentialism",2,1,9,2010-11-28,2010,11,"Sunday",2010-02-28,2010,2,"Sunday",273,5,1755,1
41,"HTI","Haiti","legislative","lower house","presidentialism",2,1,9,2015-08-09,2015,8,"Sunday",2014-11-28,2014,11,"Friday",254,4,1715,0
41,"HTI","Haiti","presidential","presidential","presidentialism",3,NA,9,2015-10-25,2015,10,"Sunday",2015-11-28,2015,11,"Saturday",-34,5,1792,0
41,"HTI","Haiti","presidential","presidential","presidentialism",2,-1,2,2016-11-20,2016,11,"Sunday",2020-10-25,2020,10,"Sunday",-1435,5,392,0
41,"HTI","Haiti","legislative","lower house","presidentialism",2,1,5,NA,NA,NA,NA,2019-10-27,2019,10,"Sunday",NA,4,NA,0
42,"DOM","Dominican Republic","legislative","lower house","presidentialism",1,0,0,1947-05-16,1947,5,"Friday",1947-05-16,1947,5,"Friday",0,5,NA,1
42,"DOM","Dominican Republic","presidential","presidential","presidentialism",1,0,0,1947-05-16,1947,5,"Friday",1947-05-16,1947,5,"Friday",0,5,NA,1
42,"DOM","Dominican Republic","legislative","lower house","presidentialism",1,0,0,1952-05-16,1952,5,"Friday",1952-05-16,1952,5,"Friday",0,5,1827,1
42,"DOM","Dominican Republic","presidential","presidential","presidentialism",1,0,0,1952-05-16,1952,5,"Friday",1952-05-16,1952,5,"Friday",0,5,1827,1
42,"DOM","Dominican Republic","legislative","lower house","presidentialism",1,0,0,1957-05-16,1957,5,"Thursday",1957-05-16,1957,5,"Thursday",0,5,1826,1
42,"DOM","Dominican Republic","presidential","presidential","presidentialism",1,0,0,1957-05-16,1957,5,"Thursday",1957-05-16,1957,5,"Thursday",0,5,1826,1
42,"DOM","Dominican Republic","legislative","lower house","presidentialism",2,1,9,1962-12-20,1962,12,"Thursday",1962-05-16,1962,5,"Wednesday",218,4,2044,1
42,"DOM","Dominican Republic","presidential","presidential","presidentialism",2,1,9,1962-12-20,1962,12,"Thursday",1962-05-16,1962,5,"Wednesday",218,4,2044,1
42,"DOM","Dominican Republic","legislative","lower house","presidentialism",2,-1,1,1966-06-01,1966,6,"Wednesday",1966-12-20,1966,12,"Tuesday",-202,4,1259,1
42,"DOM","Dominican Republic","presidential","presidential","presidentialism",2,-1,1,1966-06-01,1966,6,"Wednesday",1966-12-20,1966,12,"Tuesday",-202,4,1259,1
42,"DOM","Dominican Republic","legislative","lower house","presidentialism",1,0,0,1970-05-16,1970,5,"Saturday",1970-05-16,1970,5,"Saturday",0,4,1445,1
42,"DOM","Dominican Republic","presidential","presidential","presidentialism",1,0,0,1970-05-16,1970,5,"Saturday",1970-05-16,1970,5,"Saturday",0,4,1445,1
42,"DOM","Dominican Republic","legislative","lower house","presidentialism",1,0,0,1974-05-16,1974,5,"Thursday",1974-05-16,1974,5,"Thursday",0,4,1461,1
42,"DOM","Dominican Republic","presidential","presidential","presidentialism",1,0,0,1974-05-16,1974,5,"Thursday",1974-05-16,1974,5,"Thursday",0,4,1461,1
42,"DOM","Dominican Republic","legislative","lower house","presidentialism",1,0,0,1978-05-16,1978,5,"Tuesday",1978-05-16,1978,5,"Tuesday",0,4,1461,1
42,"DOM","Dominican Republic","presidential","presidential","presidentialism",1,0,0,1978-05-16,1978,5,"Tuesday",1978-05-16,1978,5,"Tuesday",0,4,1461,1
42,"DOM","Dominican Republic","legislative","lower house","presidentialism",1,0,0,1982-05-16,1982,5,"Sunday",1982-05-16,1982,5,"Sunday",0,4,1461,1
42,"DOM","Dominican Republic","presidential","presidential","presidentialism",1,0,0,1982-05-16,1982,5,"Sunday",1982-05-16,1982,5,"Sunday",0,4,1461,1
42,"DOM","Dominican Republic","legislative","lower house","presidentialism",1,0,0,1986-05-16,1986,5,"Friday",1986-05-16,1986,5,"Friday",0,4,1461,1
42,"DOM","Dominican Republic","presidential","presidential","presidentialism",1,0,0,1986-05-16,1986,5,"Friday",1986-05-16,1986,5,"Friday",0,4,1461,1
