id,sex,age,height,weight,income
1,male,52,174,63.1,3475810
2,male,33,175.3,70.2,457018
3,male,22,175,82.6,1627793
4,male,33,170.1,81.8,6070642
5,male,26,167.4,51.2,1083052
6,male,37,159.3,57.8,2984929
7,male,50,173.3,68.6,1481061
8,male,30,162.5,47.2,1032478
9,male,62,160.2,68.2,1092943
10,male,51,170.4,59.4,3235943
11,male,55,171.9,66.2,18376718
12,male,36,159.6,54.5,423439
13,male,66,171.2,76.5,9293221
14,male,42,175,84.4,11980768
15,male,36,177.9,79.1,1395960
16,male,47,161.6,44.8,1573996
17,male,49,169.1,78,15866426
18,male,50,163.3,47.3,2313750
19,male,39,179,67.4,13161987
20,male,46,168.7,56.2,2287807
21,male,61,161.7,64.6,23505035
22,male,31,172.7,60.9,5154041
23,male,59,174.4,68.7,2990707
24,male,21,167.3,71.1,1468426
25,male,45,164.2,66.4,3619462
26,male,21,171.7,71.5,689650
27,male,50,158.1,46.9,4936105
28,male,69,172.7,75.7,4243391
29,male,58,173,63.9,8306077
30,male,51,172.6,69.8,1122002
31,male,49,180.5,85.6,2706146
32,male,63,174.5,68.2,2412155
33,male,40,170.8,55.5,2777433
34,male,38,167,81.9,2445980
35,male,57,164.1,63.5,1511398
36,male,63,165.5,66.1,3777139
37,male,22,155.8,67.5,1989719
38,male,51,157.6,43.7,911878
39,male,67,166.5,69.3,17346811
40,male,62,171.4,71.1,3369571
41,male,44,171.1,54.7,240184
42,male,55,169.3,61,5052586
43,male,44,171.8,66.4,3899318
44,male,53,171.7,85,6436906
45,male,29,177.6,77.1,2320455
46,male,51,172.9,68.8,2746540
47,male,70,159.6,58.3,2014800
48,male,65,162.6,41.5,7637004
49,male,38,165.8,53.6,16584609
50,male,45,169.3,48.8,3412547
51,female,70,156.5,44,4865529
52,female,60,162.1,54.9,2564432
53,female,38,148.4,32,8101026
54,female,23,154.7,36,13819587
55,female,50,169.4,59.5,715630
56,female,43,150.1,49,6078859
57,female,60,150.4,50,1060811
58,female,42,167.7,66.5,3728259
59,female,45,150.8,28.3,998244
60,female,62,158.8,57,640850
61,female,33,162.7,55.7,3350179
62,female,51,158.5,46.6,8141800
63,female,56,151.2,33.2,3159361
64,female,38,158.6,66.8,3408878
65,female,40,153.4,37.3,3522627
66,female,62,158.4,61.9,1278940
67,female,52,158.7,50.5,3236310
68,female,47,158.6,56.2,1873512
69,female,35,150.6,60.1,307192
70,female,43,162.4,67.2,8939331
71,female,50,168.9,67.2,2035286
72,female,29,157.4,57,1475697
73,female,65,163.1,53.5,1345193
74,female,64,157.7,52.7,259067
75,female,61,157.3,43.7,7136495
76,female,33,156.6,63.5,2454272
77,female,36,164.9,67.1,12586996
78,female,42,160,45.5,962261
79,female,27,166.5,71.5,4200275
80,female,40,155,59.8,1307852
81,female,61,155.4,62.4,6981234
82,female,34,159.4,44.9,645361
83,female,39,169.9,65.1,1846515
84,female,45,152.4,45.6,295564
85,female,43,162.3,63.9,3786680
86,female,35,148,33.1,6514517
87,female,20,157.1,55.6,2109166
88,female,26,161,57.3,6850131
89,female,43,152.8,49.8,691147
90,female,30,156.1,45,3035520
91,female,66,163.5,67.3,3967473
92,female,27,158.1,66.9,799445
93,female,61,159.1,46.5,4025250
94,female,60,165.7,62.2,6300194
95,female,21,165.4,56.3,1339138
96,female,65,161.1,46.8,6127136
97,female,45,161.2,48.7,1062663
98,female,53,166.2,64.2,10154200
99,female,43,158.1,48.5,8287163
100,female,48,153.8,42,1125390
