"id","gender","age","height","weight","income"
1,"male",43,170.7,57.7,2623368
2,"male",35,160.7,50.1,9967695
3,"male",69,165.6,55.2,3073797
4,"male",46,174.9,61.3,3503707
5,"male",42,159.5,47.1,4599498
6,"male",31,165.2,59.3,1350356
7,"male",66,178.9,72.7,4300238
8,"male",52,170.9,60.4,8276881
9,"male",51,165.6,67.7,1325742
10,"male",57,172.4,76,14985652
11,"male",43,163.5,63.3,1483295
12,"male",51,169.8,57.1,4377878
13,"male",27,174.3,80.3,5934417
14,"male",53,166.1,61.2,2251890
15,"male",54,158.9,57.5,4785753
16,"male",36,170.6,68,11804977
17,"male",35,164.6,63.3,8576611
18,"male",34,167.2,69.6,5510464
19,"male",65,163.6,71.8,5422583
20,"male",41,167.8,64.1,14262879
21,"male",63,172,69.3,465854
22,"male",28,163.7,51.3,3167802
23,"male",54,165,63.3,3668018
24,"male",37,169.1,61.7,7505929
25,"male",68,172.6,71.3,3741994
26,"male",40,165.9,70.3,3805262
27,"male",68,165.2,59.2,1602871
28,"male",42,168.8,59.7,1727110
29,"male",29,165,55.3,1038770
30,"male",50,172.7,72.5,2736783
31,"male",64,161.4,48,19062703
32,"male",52,168.1,56.9,2887560
33,"male",25,165.9,62.9,1500805
34,"male",50,159.9,60.6,4987661
35,"male",43,170,76.6,671390
36,"male",61,160.6,42.4,4298043
37,"male",48,161.7,60.8,4923833
38,"male",70,164.6,62.6,1684451
39,"male",32,170.7,81.3,519532
40,"male",37,167.4,57.6,8911523
41,"male",34,176.5,60,4003917
42,"male",20,179.7,70.8,392106
43,"male",54,170.7,65.5,3047813
44,"male",45,166.2,58.3,2191180
45,"male",67,169.1,67.4,1549906
46,"male",22,157.6,51.7,1016399
47,"male",30,163.1,63.2,3724224
48,"male",31,168.7,74.5,845790
49,"male",35,166.7,70.2,4928255
50,"male",24,159.8,68.2,434315
51,"female",62,159.9,63.4,993423
52,"female",43,151.6,51.7,2037507
53,"female",25,160.7,56.3,5884340
54,"female",36,157.2,33,3304371
55,"female",48,150,42.3,823352
56,"female",69,153.9,43.3,309493
57,"female",46,153.1,39.5,4047337
58,"female",21,159.2,51.8,1123336
59,"female",40,158.8,49.2,692912
60,"female",34,167,60.8,6914068
61,"female",46,158.2,60.6,1185300
62,"female",51,154.4,45.9,2031032
63,"female",57,157.3,50.3,2558919
64,"female",30,156.7,61.4,2036510
65,"female",24,165.4,49.9,379915
66,"female",63,154.2,64.8,4630044
67,"female",49,166.9,69.4,3514922
68,"female",29,158.1,74.3,3282777
69,"female",28,159.2,60.5,7288399
70,"female",43,160.5,67.1,3487285
71,"female",65,154.1,42.8,1119450
72,"female",69,162.6,76.5,2190777
73,"female",40,168.2,73.6,1011750
74,"female",43,157.4,52.7,2973263
75,"female",48,165.1,67.6,8277303
76,"female",55,159.3,49.1,10690674
77,"female",58,154.3,41.1,857643
78,"female",22,150.8,47.8,567065
79,"female",28,155.1,59.6,942992
80,"female",22,161.1,64.8,1699950
81,"female",43,163.3,51.3,200371
82,"female",40,154.4,49.6,3809412
83,"female",60,157.7,45.2,3230037
84,"female",45,154.2,57.7,12333583
85,"female",33,166.5,60.6,1412270
86,"female",64,165.4,67.9,8844207
87,"female",62,153.5,44.7,1089326
88,"female",22,166.2,54.4,2500927
89,"female",66,153.4,49.9,7245149
90,"female",32,159.7,61.4,7445260
91,"female",41,153.3,51,3654413
92,"female",58,155.9,51.5,7356384
93,"female",40,164.2,60.7,1817501
94,"female",66,155.9,66,17870265
95,"female",34,157.2,46.4,1628482
96,"female",63,157.8,59.3,939787
97,"female",24,143.7,31.5,2254852
98,"female",69,161.7,46.8,22967643
99,"female",41,155.7,55.4,93662
100,"female",41,165.2,67.2,17073551
