id,female,support,height,faheight
1,0,1,174.5,179
2,0,1,171.3,166.4
3,0,0,174.2,169.7
4,0,1,173.5,171.5
5,0,1,169.7,156.5
6,1,0,157,163.1
7,1,1,158.5,170.5
8,1,0,161.5,173.8
9,1,1,164.1,180.7
10,0,1,174.3,169.1
11,0,1,169.5,168.8
12,1,1,160.2,174.3
13,1,1,161.9,169.2
14,1,0,164.7,187.5
15,1,1,156.9,166.5
16,1,0,159.6,170.6
17,1,1,156.8,170.3
18,0,1,169.1,167.2
19,1,0,157.3,162.9
20,0,1,172.4,178.7
21,1,0,159,167.6
22,0,1,175.8,175.8
23,1,1,158.6,171.8
24,0,1,173.4,169.9
25,1,0,160.7,177.8
26,0,0,174.6,170.4
27,1,0,156.5,161.8
28,1,1,158.4,162.2
29,0,0,172.8,173
30,0,1,174.9,170.5
31,1,1,158,165.5
32,0,1,169.9,162.3
33,0,0,172.9,167.9
34,1,1,159.5,174.8
35,0,0,173.2,172.7
36,0,1,175.6,176.8
37,0,1,174,171.5
38,1,1,160.1,175.1
39,1,0,154.4,160.1
40,1,0,155.3,170.6
41,1,1,156.6,164.2
42,0,1,172.4,167.7
43,1,0,159.4,171.8
44,0,1,171,163.6
45,0,0,173.2,166.4
46,0,1,170.8,166.4
47,0,1,170.5,161.6
48,1,1,163,176.1
49,0,1,176.1,174
50,0,0,173.2,173.5
51,1,0,159.1,165.3
52,1,0,157.3,161.9
53,0,0,177,175.2
54,1,1,154.9,160.4
55,1,0,162,179.8
56,1,0,161.1,179
57,0,0,173.1,168.5
58,0,1,169.8,164.5
59,0,0,175.4,177
60,0,0,170.3,166.7
61,0,0,174.8,174.8
62,1,1,159.6,174.3
63,1,1,159.3,169.9
64,1,0,157.2,159.3
65,1,1,162.7,180.4
66,1,1,157.7,162.2
67,0,1,175.6,174.1
68,0,0,170.6,164.2
69,1,1,158.4,172.5
70,0,1,174.4,177.1
71,1,0,158,169.1
72,0,0,170.7,169.4
73,1,1,159.8,170.1
74,1,1,158.5,168.8
75,1,0,162,177.2
76,1,0,155.3,157.2
77,1,1,156.9,164.9
78,1,0,159.4,169
79,1,0,158.1,165.2
80,1,1,158,172.2
81,0,1,171.4,166.8
