party,candidate,status,votes,win
自民,徳茂　雅之,新,"521,060",1
自民,青山　繁晴,新,"481,890",1
自民,片山　さつき,現,"393,382",1
自民,中西　哲,新,"392,433",1
自民,今井　絵理子,新,"319,359",1
自民,足立　敏之,新,"293,735",1
自民,山谷　えり子,現,"249,844",1
自民,藤木　真也,新,"236,119",1
自民,自見　英子,新,"210,562",1
自民,進藤　金日子,新,"182,467",1
自民,高階　恵美子,現,"177,810",1
自民,山田　宏,新,"149,833",1
自民,藤井　基之,現,"142,132",1
自民,阿達　雅志,現,"139,110",1
自民,宇都　隆史,現,"137,993",1
自民,小川　克巳,新,"130,101",1
自民,宮島　喜文,新,"122,833",1
自民,水落　敏栄,現,"114,485",1
自民,園田　修光,新,"101,154",1
自民,竹内　功,新,"87,578",0
自民,増山　寿一,新,"85,355",0
自民,堀内　恒夫,現,"84,597",0
自民,大江　康弘,元,"53,731",0
自民,畦元　将吾,新,"37,731",0
自民,伊藤　洋介,新,"29,865",0
民進,小林　正夫,現,"270,285",1
民進,浜口　誠,新,"266,623",1
民進,矢田　稚子,新,"215,823",1
民進,有田　芳生,現,"205,884",1
民進,川合　孝典,前,"196,023",1
民進,難波　奨二,現,"191,823",1
民進,江崎　孝,現,"184,187",1
民進,那谷屋　正義,現,"176,683",1
民進,石橋　通宏,現,"171,486",1
民進,藤末　健三,現,"143,188",1
民進,白　真勲,現,"138,813",1
民進,田城　郁,現,"113,571",0
民進,藤川　慎一,新,"112,995",0
民進,轟木　利治,前,"108,522",0
民進,森屋　隆,新,"102,208",0
民進,田中　直紀,現,"86,596",0
民進,柴田　巧,現,"73,166",0
民進,大河原　雅子,前,"71,398",0
民進,前田　武志,現,"59,853",0
民進,小野　次郎,現,"46,213",0
民進,西村　正美,現,"38,899",0
民進,鎌谷　一也,新,"26,717",0
公明,長沢　広明,現,"942,266",1
公明,秋野　公造,現,"612,066",1
公明,横山　信一,現,"606,889",1
公明,熊野　正士,新,"605,226",1
公明,谷合　正明,現,"478,175",1
公明,浜田　昌良,現,"388,473",1
公明,宮崎　勝,新,"18,571",1
公明,竹内　真二,新,"7,488",0
公明,高橋　秀明,新,"5,878",0
公明,星　英一郎,新,"5,666",0
公明,竹内　秀伸,新,"4,333",0
公明,高田　清久,新,"3,497",0
公明,坂本　道応,新,"3,377",0
公明,佐藤　史成,新,"3,226",0
公明,千葉　宣男,新,"2,560",0
公明,飯塚　栄治,新,"2,443",0
公明,栗岡　哲平,新,"1,533",0
共産,市田　忠義,現,"77,348",1
共産,田村　智子,現,"49,113",1
共産,大門　実紀史,現,"33,078",1
共産,岩渕　友,新,"31,099",1
共産,武田　良介,新,"23,938",1
共産,奥田　智子,新,"23,680",0
共産,伊勢田　良子,新,"23,261",0
共産,春名　直章,新,"21,478",0
共産,椎葉　寿幸,新,"13,228",0
共産,吉俣　洋,新,"11,139",0
共産,古田　美知代,新,"7,921",0
共産,岩渕　彩子,新,"7,757",0
共産,石山　浩行,新,"7,136",0
共産,吉田　恭子,新,"7,088",0
共産,小池　一徳,新,"7,070",0
共産,岡田　正和,新,"7,036",0
共産,山下　魁,新,"4,579",0
共産,伊藤　達也,新,"4,476",0
共産,佐藤　耕平,新,"4,378",0
共産,真栄里　保,新,"4,032",0
共産,藤本　友里,新,"3,921",0
共産,西沢　博,新,"3,661",0
共産,山田　和雄,新,"3,579",0
共産,唐沢　千晶,新,"3,528",0
共産,高木　光弘,新,"3,147",0
共産,坂口　多美子,新,"2,957",0
共産,松本　隆,新,"2,784",0
共産,熊谷　智,新,"2,497",0
共産,松山　恭子,新,"2,376",0
共産,高橋　渡,新,"2,257",0
共産,亀田　良典,新,"2,254",0
共産,原口　敏彦,新,"2,184",0
共産,釜井　敏行,新,"1,932",0
共産,松田　一志,新,"1,931",0
共産,益田　牧子,新,"1,786",0
共産,遠藤　秀和,新,"1,492",0
共産,上村　泰稔,新,"1,303",0
共産,三ケ尻　亮子,新,"1,299",0
共産,宮内　現,新,"1,189",0
共産,和泉　信丈,新,972,0
共産,植本　完治,新,744,0
共産,小路　貴之,新,499,0
お維新,片山　虎之助,現,"194,902",1
お維新,渡辺　喜美,新,"143,343",1
お維新,石井　苗子,新,"68,147",1
お維新,石井　章,新,"50,073",1
お維新,儀武　剛,新,"43,679",0
お維新,梅村　聡,前,"37,570",0
お維新,鈴木　宏治,新,"33,518",0
お維新,三宅　博,新,"23,021",0
お維新,坂井　良和,新,"22,552",0
お維新,中谷　裕之,新,"19,946",0
お維新,樋口　俊一,元,"17,626",0
お維新,鈴木　望,新,"16,816",0
お維新,島　聡,新,"12,677",0
お維新,矢野　義昭,新,"11,983",0
お維新,新渡　英夫,新,"11,090",0
お維新,宇佐美　孝二,新,"9,755",0
お維新,高橋　英明,新,"8,562",0
お維新,串田　誠一,新,"5,960",0
社民,福島　瑞穂,現,"254,956",1
社民,吉田　忠智,現,"153,197",0
社民,椎野　隆,新,"9,627",0
社民,伊藤　善規,新,"6,368",0
社民,桝口　敏行,新,"3,370",0
社民,田山　英次,新,"3,273",0
社民,桂川　悟,新,"2,288",0
生活,青木　愛,元,"109,050",1
生活,姫井　由美子,元,"16,116",0
生活,末次　精一,新,"11,878",0
生活,北出　美翔,新,"11,349",0
生活,日吉　雄太,新,"9,862",0
こころ,中山　成彬,新,"77,884",0
こころ,西村　真悟,新,"42,296",0
こころ,ボギー　てどこん,新,"35,235",0
こころ,保江　邦夫,新,"12,948",0
こころ,矢作　直樹,新,"10,363",0
改革,山田　太郎,現,"291,188",0
改革,荒井　広幸,現,"63,757",0
改革,平山　誠,前,"5,944",0
改革,大坂　佳巨,新,"3,635",0
改革,伊藤　淳子,新,"3,388",0
改革,田中　大助,新,"3,049",0
改革,福田　晃三,新,"2,405",0
改革,藤岡　佳代子,新,"2,065",0
改革,朝倉　秀雄,新,963,0
幸福,七海　ひろこ,新,"31,717",0
幸福,釈　量子,新,"28,579",0
支持,佐野　秀光,新,"31,334",0
支持,本藤　昭子,新,"18,035",0
怒り,小林　節,新,"78,272",0
怒り,円　より子,元,"20,496",0
怒り,平野　道子,新,"6,194",0
怒り,荒木　大樹,新,"4,735",0
怒り,大西　さちえ,新,"4,659",0
怒り,橋本　勉,新,"3,042",0
怒り,吉田　晶子,新,"2,934",0
怒り,杉本　志乃,新,"2,272",0
怒り,立川　光昭,新,"1,958",0
怒り,渡辺　良弘,新,"1,806",0
