prefecture,magnitude,candidate,party,votes,voteshare,status,win
北海道,3,長谷川　岳,自民,"648,269",25.47,現,1
北海道,3,徳永　エリ,民進,"559,996",22.00,現,1
北海道,3,鉢呂　吉雄,民進,"491,129",19.29,新,1
北海道,3,柿木　克弘,自民,"482,688",18.96,新,0
北海道,3,森　英士,共産,"239,564",9.41,新,0
北海道,3,佐藤　和夫,こころ,"34,038",1.34,新,0
北海道,3,中村　治,諸派,"29,072",1.14,新,0
北海道,3,飯田　佳宏,無所属,"26,686",1.05,新,0
北海道,3,森山　佳則,諸派,"21,006",0.83,新,0
北海道,3,水越　寛陽,無所属,"12,944",0.51,新,0
青森,1,田名部　匡代,民進,"302,867",49.19,新,1
青森,1,山崎　力,自民,"294,815",47.88,現,0
青森,1,三国　佑貴,諸派,"18,071",2.93,新,0
岩手,1,木戸口　英司,無所属,"328,555",53.34,新,1
岩手,1,田中　真一,自民,"252,767",41.04,新,0
岩手,1,石川　幹子,諸派,"34,593",5.62,新,0
宮城,1,桜井　充,民進,"510,450",51.10,現,1
宮城,1,熊谷　大,自民,"469,268",46.98,現,0
宮城,1,油井　哲史,諸派,"19,129",1.92,新,0
秋田,1,石井　浩郎,自民,"290,052",53.94,現,1
秋田,1,松浦　大悟,民進,"236,521",43.99,前,0
秋田,1,西野　晃,諸派,"11,131",2.07,新,0
山形,1,舟山　康江,無所属,"344,356",59.05,前,1
山形,1,月野　薫,自民,"223,583",38.34,新,0
山形,1,城取　良太,諸派,"15,223",2.61,新,0
福島,1,増子　輝彦,民進,"462,852",50.50,現,1
福島,1,岩城　光英,自民,"432,982",47.24,現,0
福島,1,矢内　筆勝,諸派,"20,653",2.25,新,0
茨城,2,岡田　広,自民,"609,636",50.33,現,1
茨城,2,郡司　彰,民進,"306,050",25.27,現,1
茨城,2,小林　恭子,共産,"113,833",9.40,新,0
茨城,2,武藤　優子,お維新,"86,866",7.17,新,0
茨城,2,石原　順子,無所属,"78,655",6.49,新,0
茨城,2,中村　幸樹,諸派,"16,282",1.34,新,0
栃木,1,上野　通子,自民,"484,300",58.92,現,1
栃木,1,田野辺　隆男,無所属,"314,401",38.25,新,0
栃木,1,三觜　明美,諸派,"23,262",2.83,新,0
群馬,1,中曽根　弘文,自民,"527,371",65.96,現,1
群馬,1,堀越　啓仁,民進,"248,615",31.09,新,0
群馬,1,安永　陽,諸派,"23,550",2.95,新,0
埼玉,3,関口　昌一,自民,"898,827",29.19,現,1
埼玉,3,大野　元裕,民進,"676,828",21.98,現,1
埼玉,3,西田　実仁,公明,"642,597",20.87,現,1
