party,priority,name,yomi,lastname,firstname,last_kana,first_kana,age,status,previous,bio,edu,home,win,votes
共産,0,小池 晃,こいけ あきら,小池,晃,こいけ,あきら,59,現,3,党書記局長・医師〈元〉全日本民医連理事・病院勤務医,東北大,東京都,1,154635
共産,0,山下 芳生,やました よしき,山下,芳生,やました,よしき,59,現,3,党副委員長〈元〉党書記局長・大阪かわち市民生協職員,鳥取大,大阪府,1,48669
共産,0,紙 智子,かみ ともこ,紙,智子,かみ,ともこ,64,現,3,党農林漁民局長〈元〉党道常任委員・民青副委員長,北海道女短大,北海道,1,34556
共産,0,井上 哲士,いのうえ さとし,井上,哲士,いのうえ,さとし,61,現,3,党参院国対委員長〈元〉赤旗記者・衆院議員秘書,京大,京都府,1,42831
共産,0,仁比 聡平,にひ そうへい,仁比,聡平,にひ,そうへい,55,現,2,弁護士・党中央委員〈元〉市民オンブズマン北九州事務局長,京大,福岡県,0,33306
共産,0,梅村 早江子,うめむら さえこ,梅村,早江子,うめむら,さえこ,55,新,0,党准中央委員〈元〉衆院議員・民青中央副委員長,立命館大,埼玉県,0,15283
共産,0,椎葉 寿幸,しいば かずゆき,椎葉,寿幸,しいば,かずゆき,42,新,0,党中央委員・党千葉県副委員長,千葉大,千葉県,0,16701
共産,0,青山 了介,あおやま りょうすけ,青山,了介,あおやま,りょうすけ,44,新,0,党富山県常任委員・党若者子育て支援県相談室長,秋田大中退,富山県,0,2584
共産,0,有坂 ちひろ,ありさか ちひろ,有坂,ちひろ,ありさか,ちひろ,44,新,0,飲食店経営・党地区副委員長・上伊那民商副会長,帝京大,長野県,0,2756
共産,0,伊藤 達也,いとう たつや,伊藤,達也,いとう,たつや,36,新,0,党群馬県常任委員〈元〉民青県委員長・建設会社員,高崎工高,群馬県,0,2135
共産,0,伊藤 理智子,いとう りちこ,伊藤,理智子,いとう,りちこ,58,新,0,党道委員〈元〉札幌市議・保育士,函館大谷女短大保母養成所,北海道,0,3054
共産,0,大野 聖美,おおの さとみ,大野,聖美,おおの,さとみ,34,新,0,党兵庫県福祉子育て対策委員長,頌栄人間福祉専門学校,兵庫県,0,2160
共産,0,鎌野 祥二,かまの しょうじ,鎌野,祥二,かまの,しょうじ,51,新,0,党奈良県国政委員長〈元〉衆院議員秘書・住宅会社員,立命館大,京都府,0,419
共産,0,小久保 剛志,こくぼ たけし,小久保,剛志,こくぼ,たけし,44,新,0,党埼玉県政策委員〈元〉赤旗記者・電気通信機器製造会社員,明大,埼玉県,0,1191
共産,0,佐藤 ちひろ,さとう ちひろ,佐藤,ちひろ,さとう,ちひろ,39,新,0,党京都子ども若者応援室プロジェクトリーダー,嵯峨美術短大,京都府,0,4157
共産,0,島袋 恵祐,しまぶく けいすけ,島袋,恵祐,しまぶく,けいすけ,32,新,0,党沖縄県委員・党地区副委員長〈元〉陸自隊員,北中城高,沖縄県,0,2148
共産,0,下奥 奈歩,しもおく なほ,下奥,奈歩,しもおく,なほ,32,新,0,党准愛知県委員〈元〉県議・製粉会社員,椙山女学園大中退,愛知県,0,929
共産,0,住寄 聡美,すみより さとみ,住寄,聡美,すみより,さとみ,36,新,0,党岡山県教育青年サポート責任者〈元〉小学校教諭,島根大,岡山県,0,576
共産,0,田辺 健一,たなべ けんいち,田辺,健一,たなべ,けんいち,38,新,0,党香川県常任委員・党地区委員長〈元〉民青県委員,香川大,香川県,0,2660
共産,0,沼上 徳光,ぬまかみ とくみつ,沼上,徳光,ぬまかみ,とくみつ,33,新,0,〈元〉茅ケ崎市議・ヤマト運輸社員,スポーツ指導員専門学校,神奈川県,0,645
共産,0,原 純子,はら じゅんこ,原,純子,はら,じゅんこ,54,新,0,党都常任委員・社会福祉士〈元〉医療法人職員,日本福祉大,東京都,0,3636
共産,0,藤本 友里,ふじもと ゆり,藤本,友里,ふじもと,ゆり,40,新,0,党秋田県常任委員〈元〉特許事務所員,都留文科大,秋田県,0,3403
共産,0,舩山 由美,ふなやま ゆみ,舩山,由美,ふなやま,ゆみ,51,新,0,党宮城県常任委員〈元〉仙台市議・看護師,宮城県総合衛生学院,宮城県,0,5335
共産,0,松崎 真琴,まつざき まこと,松崎,真琴,まつざき,まこと,61,新,0,党中央委員・党鹿児島県副委員長〈元〉県議,鹿児島大,鹿児島県,0,2570
共産,0,山本 千代子,やまもと ちよこ,山本,千代子,やまもと,ちよこ,70,新,0,党徳島県委員,徳島大医学部付属衛生検査技師学校,徳島県,0,7533
共産,0,山本 訓子,やまもと のりこ,山本,訓子,やまもと,のりこ,33,新,0,党大阪子育て若者支援部長〈元〉保育園職員,服飾専門学校,大阪府,0,32646
自民,1,三木 亨,みき とおる,三木,亨,みき,とおる,52,現,1,党参院副幹事長〈元〉財務政務官・徳島県議・食品販売社員,中大,徳島県,1,NA
自民,1,三浦 靖,みうら やすし,三浦,靖,みうら,やすし,46,新,0,党青年局次長〈元〉衆院議員・大田市議・衆院議員秘書,神奈川大,島根県,1,NA
自民,0,赤池 誠章,あかいけ まさあき,赤池,誠章,あかいけ,まさあき,58,現,1,党文科部会長〈元〉文科政務官・明大客員教授・衆院議員,明大,山梨県,1,130941
自民,0,有村 治子,ありむら はるこ,有村,治子,ありむら,はるこ,48,現,3,党参院政審会長〈元〉女性活躍相・マクドナルド社員,米ＳＩＴ院,東京都,1,204827
自民,0,石田 昌宏,いしだ まさひろ,石田,昌宏,いしだ,まさひろ,52,現,1,参院厚労委員長〈元〉日本看護連盟幹事長・衆院議員秘書,東大,東京都,1,189171
自民,0,糸川 正晃,いとかわ まさあき,糸川,正晃,いとかわ,まさあき,44,新,0,全空連理事〈元〉厚労政務官・衆院議員・民主党副幹事長,慶大,群馬県,0,35873
自民,0,井上 義行,いのうえ よしゆき,井上,義行,いのうえ,よしゆき,56,前,1,〈元〉みんなの党組織副委員長・首相秘書官・内閣府職員,日大,神奈川県,0,87347
自民,0,衛藤 晟一,えとう せいいち,衛藤,晟一,えとう,せいいち,71,現,2,首相補佐官〈元〉厚労副大臣・衆院議員・大分県議,大分大,大分県,1,153609
自民,0,小川 真史,おがわ しんじ,小川,真史,おがわ,しんじ,63,新,0,日本衛生検査所協会理事〈元〉臨床検査受託会社会長,追手門大,東京都,0,84688
自民,0,尾立 源幸,おだち もとゆき,尾立,源幸,おだち,もとゆき,55,前,2,公認会計士・税理士〈元〉民進党大阪府代表・財務政務官,慶大,東京都,0,91536
自民,0,角田 充由,かくた みつよし,角田,充由,かくた,みつよし,44,新,0,全国老人福祉施設協議会理事〈元〉宇都宮市議,帝京大,栃木県,0,75117
自民,0,北村 経夫,きたむら つねお,北村,経夫,きたむら,つねお,64,現,1,〈元〉経産政務官・産経新聞政治部長,米ペンシルベニア大院,山口県,1,176609
自民,0,木村 義雄,きむら よしお,木村,義雄,きむら,よしお,71,現,1,党外国人労働者等特別委員長〈元〉衆院議員・厚労副大臣,中大,香川県,0,91996
自民,0,熊田 篤嗣,くまだ あつし,熊田,篤嗣,くまだ,あつし,48,新,0,コンサル会社執行役員〈元〉衆院議員・民主党総支部長,京大,奈良県,0,29759
自民,0,佐藤 信秋,さとう のぶあき,佐藤,信秋,さとう,のぶあき,71,現,2,党国土強靭化推進副本部長〈元〉国交事務次官,京大院,東京都,1,231957
自民,0,佐藤 正久,さとう まさひさ,佐藤,正久,さとう,まさひさ,58,現,2,外務副大臣〈元〉防衛政務官・陸自イラク先遣隊長,防衛大,埼玉県,1,234713
自民,0,山東 昭子,さんとう あきこ,山東,昭子,さんとう,あきこ,77,現,7,〈元〉参院副議長・科技庁長官・環境政務次官・女優,文化学院,東京都,1,131477
自民,0,田中 昌史,たなか まさし,田中,昌史,たなか,まさし,53,新,0,理学療法士・日本理学療法士協会理事,北翔大院,東京都,0,99585
自民,0,柘植 芳文,つげ よしふみ,柘植,芳文,つげ,よしふみ,73,現,1,全国郵便局長会顧問〈元〉参院内閣委員長・全特会長,愛知大,愛知県,1,598673
自民,0,中田 宏,なかだ ひろし,中田,宏,なかだ,ひろし,54,新,0,〈元〉次世代の党国対委員長・衆院議員・横浜市長,青学大,神奈川県,0,111361
自民,0,橋本 聖子,はしもと せいこ,橋本,聖子,はしもと,せいこ,54,現,4,党参院議員会長〈元〉外務副大臣・スケート選手,駒大苫小牧高,千葉県,1,223294
自民,0,羽生田 俊,はにゅうだ たかし,羽生田,俊,はにゅうだ,たかし,71,現,1,参院財政金融委理事〈元〉参院厚労委長・日医会副会長,東京医大,群馬県,1,151522
自民,0,比嘉 奈津美,ひが なつみ,比嘉,奈津美,ひが,なつみ,60,新,0,歯科医師・日歯連顧問〈元〉衆院議員・環境政務官,福岡歯大,沖縄県,0,113443
自民,0,本田 顕子,ほんだ あきこ,本田,顕子,ほんだ,あきこ,47,新,0,日本薬剤師連盟副会長・薬剤師〈元〉参院議員秘書,星薬大,熊本県,1,158538
自民,0,丸山 和也,まるやま かずや,丸山,和也,まるやま,かずや,73,現,2,弁護士〈元〉党司法制度調査会長・タレント・法務省職員,早大,埼玉県,0,57197
自民,0,水口 尚人,みずぐち なおと,水口,尚人,みずぐち,なおと,39,新,0,酒政連理事〈元〉全国小売酒販組合中央会事務局長,簿記専門学校,東京都,0,24275
自民,0,宮崎 雅夫,みやざき まさお,宮崎,雅夫,みやざき,まさお,55,新,0,全国土地改良政治連盟顧問〈元〉農水省地域整備課長,神戸大,東京都,1,137329
自民,0,宮本 周司,みやもと しゅうじ,宮本,周司,みやもと,しゅうじ,48,現,1,党経産部会長代理〈元〉全国商工会青年部連合会長,東京経大,石川県,1,201937
自民,0,森本 勝也,もりもと かつや,森本,勝也,もりもと,かつや,43,新,0,〈元〉日本青年会議所副会頭,明大専門職院,奈良県,0,23355
自民,0,山田 太郎,やまだ たろう,山田,太郎,やまだ,たろう,52,前,1,経営コンサル会社長〈元〉元気政調会長・東工大院特任教授,慶大,東京都,1,529032
自民,0,山田 俊男,やまだ としお,山田,俊男,やまだ,としお,72,現,2,〈元〉参院農水委員長・全国農業協同組合中央会専務理事,早大,東京都,1,217249
自民,0,山本 左近,やまもと さこん,山本,左近,やまもと,さこん,37,新,0,学校法人理事長〈元〉Ｆ１レーサー,南山大中退,愛知県,0,77545
自民,0,和田 政宗,わだ まさむね,和田,政宗,わだ,まさむね,44,現,1,〈元〉次世代の党幹事長・ＮＨＫアナウンサー,慶大,宮城県,1,284721
オリ,0,黒川 敦彦,くろかわ あつひこ,黒川,敦彦,くろかわ,あつひこ,40,新,0,オリーブ代表・市民団体共同代表〈元〉投資会社長,阪大,愛媛県,0,12099
オリ,0,天木 直人,あまき なおと,天木,直人,あまき,なおと,72,新,0,オリーブ共同代表・外交評論家〈元〉レバノン大使,京大中退,栃木県,0,4226
オリ,0,小川 学,おがわ まなぶ,小川,学,おがわ,まなぶ,56,新,0,ＩＴ関連会社員〈元〉日本ＩＢＭ社員,中大,千葉県,0,4432
オリ,0,若林 亜紀,わかばやし あき,若林,亜紀,わかばやし,あき,53,新,0,ジャーナリスト・ＮＰＯ理事長〈元〉日本労働研究機構職員,慶大,東京都,0,9949
社民,0,吉田 忠智,よしだ ただとも,吉田,忠智,よしだ,ただとも,63,前,1,党顧問〈元〉党首・大分県議・県職員,九大,大分県,1,148937
社民,0,仲村 未央,なかむら みお,仲村,未央,なかむら,みお,47,新,0,党沖縄県書記長〈元〉県議・沖縄市議・琉球新報記者,琉球大,沖縄県,0,98071
