party,n_cand,seats_won,votes_party,votes_cand,votes_total,vshare
Ｎ国,4,1,830215,144936,975151,1.97
オリ,4,0,135370,30707,166077,0.33
れい,9,2,1206549,1037329,2243878,4.53
公明,17,7,4229400,2249348,6478748,13.07
共産,26,4,3996479,426524,4423003,8.92
労働,4,0,57397,22028,79425,0.16
国民,14,3,2158231,1300400,3458631,6.98
安楽,1,0,228728,35214,263942,0.53
幸福,3,0,157663,43038,200701,0.4
社民,4,1,754430,283474,1037904,2.09
立憲,22,8,6630392,1209238,7839630,15.81
維新,14,5,4184115,682599,4866714,9.82
自民,33,19,12586363,4958687,17545050,35.39
