prefecture,name,yomi,lastname,firstname,last_kana,first_kana,age,party,recommended,status,previous,bio,edu,n_cand,win,votes,vshare,magnitude
北海道,森山 佳則,もりやま よしのり,森山,佳則,もりやま,よしのり,52,諸派,NA,新,0,幸福実現党員〈元〉新日鉄社員,中大,9,0,13724,0.57,3
北海道,高橋 はるみ,たかはし はるみ,高橋,はるみ,たかはし,はるみ,65,自民,公明,新,0,北海商大院客員教授〈元〉知事・経産省北海道経済産業局長,一橋大,9,1,828220,34.36,3
北海道,畠山 和也,はたやま かずや,畠山,和也,はたやま,かずや,47,共産,NA,新,0,党中央委員・党道副委員長〈元〉衆院議員・中学校教諭,北海道教大院,9,0,265862,11.03,3
北海道,岩瀬 清次,いわせ せいじ,岩瀬,清次,いわせ,せいじ,66,諸派,NA,新,0,労働者党代表委員〈元〉光学機器会社員,都立上野高,9,0,10108,0.42,3
北海道,岩本 剛人,いわもと つよひと,岩本,剛人,いわもと,つよひと,54,自民,公明,新,0,〈元〉党道副会長・道議・党道幹事長・港湾開発会社員,淑徳大,9,1,454285,18.85,3
北海道,勝部 賢志,かつべ けんじ,勝部,賢志,かつべ,けんじ,59,立憲,NA,新,0,〈元〉道副議長・北教組石狩支部書記長・小学校教諭,北海道教大,9,1,523737,21.73,3
北海道,中村 治,なかむら おさむ,中村,治,なかむら,おさむ,66,諸派,NA,新,0,安楽死党道代表〈元〉登記情報会社員・信販会社員,札幌啓成高,9,0,23785,0.99,3
北海道,原谷 那美,はらや なみ,原谷,那美,はらや,なみ,35,国民,NA,新,0,獣医師・党道常任幹事〈元〉道議会臨時職員,酪農学園大,9,0,227174,9.43,3
北海道,山本 貴平,やまもと たかひら,山本,貴平,やまもと,たかひら,44,諸派,NA,新,0,Ｎ国党員〈元〉物流会社員,都立江北高,9,0,63308,2.63,3
青森,小山 日奈子,こやま ひなこ,小山,日奈子,こやま,ひなこ,53,諸派,NA,新,0,Ｎ国党員〈元〉国民新党世田谷区支部長・衆院議員秘書,戸板女短大,3,0,19310,4.15,1
青森,滝沢 求,たきさわ もとめ,滝沢,求,たきさわ,もとめ,60,自民,公明,現,1,参院環境委理事〈元〉外務政務官・県議・衆院議員秘書,中大,3,1,239757,51.49,1
青森,小田切 達,おだぎり さとる,小田切,達,おだぎり,さとる,61,立憲,社民,新,0,弁護士〈元〉県入札監視委員長・県弁護士会長,北大,3,0,206582,44.36,1
岩手,横沢 高徳,よこさわ たかのり,横沢,高徳,よこさわ,たかのり,47,無所属,立憲 / 国民 / 共産 / 社民,新,0,〈元〉チェアスキー選手・美容器会社契約社員・モトクロス選手,盛岡工高,3,1,288239,48.97,1
岩手,平野 達男,ひらの たつお,平野,達男,ひらの,たつお,65,自民,公明,現,3,〈元〉復興相・民主党政調副会長・農水省職員・県農地計画課長,東大,3,0,272733,46.33,1
岩手,梶谷 秀一,かじたに しゅういち,梶谷,秀一,かじたに,しゅういち,53,諸派,NA,新,0,Ｎ国党員・福祉事業会社長・障害児福祉サービス事業会社長,関西大,3,0,27658,4.7,1
宮城,三宅 紀昭,みやけ のりあき,三宅,紀昭,みやけ,のりあき,57,諸派,NA,新,0,Ｎ国党員〈元〉通信機器製造会社員,日大,3,0,36321,3.72,1
宮城,愛知 治郎,あいち じろう,愛知,治郎,あいち,じろう,50,自民,公明,現,3,〈元〉党県会長・財務副大臣・復興副大臣・防衛政務官,中大,3,0,465194,47.65,1
宮城,石垣 のりこ,いしがき のりこ,石垣,のりこ,いしがき,のりこ,44,立憲,国民 / 社民,新,0,エフエム仙台アナウンサー・党県復興推進委員長,宮城教大,3,1,474692,48.63,1
秋田,中泉 松司,なかいずみ まつじ,中泉,松司,なかいずみ,まつじ,40,自民,公明,現,1,党政調副会長〈元〉県議・ビル清掃会社員・参院議員秘書,中大,3,0,221219,46.07,1
秋田,寺田 静,てらた しずか,寺田,静,てらた,しずか,44,無所属,NA,新,0,〈元〉参院議員秘書・衆院議員秘書・東大生産技術研究所秘書,早大,3,1,242286,50.46,1
秋田,石岡 隆治,いしおか りゅうじ,石岡,隆治,いしおか,りゅうじ,45,諸派,NA,新,0,Ｎ国党員〈元〉海上自衛官,NA,3,0,16683,3.47,1
山形,大沼 瑞穂,おおぬま みずほ,大沼,瑞穂,おおぬま,みずほ,40,自民,公明,現,1,〈元〉厚労政務官・党女性局長代理・東京財団研究員・ＮＨＫ記者,慶大院,3,0,263185,47.28,1
山形,芳賀 道也,はが みちや,芳賀,道也,はが,みちや,61,無所属,立憲 / 国民 / 共産 / 社民,新,0,フリーアナウンサー〈元〉ＹＢＣ山形放送アナウンス部統括部長,日大,3,1,279709,50.24,1
山形,小野沢 健至,おのざわ たけし,小野沢,健至,おのざわ,たけし,49,諸派,NA,新,0,Ｎ国党員〈元〉システム運用会社監査役,日本工学院八王子専門学校,3,0,13800,2.48,1
福島,森 雅子,もり まさこ,森,雅子,もり,まさこ,54,自民,公明,現,2,弁護士〈元〉少子化担当相・消費者相・金融庁職員,東北大,3,1,445547,54.08,1
福島,水野 さちこ,みずの さちこ,水野,さちこ,みずの,さちこ,57,無所属,立憲 / 国民 / 社民,新,0,〈元〉県議・エフエム会津パーソナリティー・保育士,郡山女短大,3,0,345001,41.88,1
福島,田山 雅仁,たやま まさひと,田山,雅仁,たやま,まさひと,35,諸派,NA,新,0,Ｎ国党員・ＩＴ関連会社長〈元〉情報通信会社員,東海大,3,0,33326,4.05,1
茨城,田中 健,たなか けん,田中,健,たなか,けん,53,諸派,NA,新,0,Ｎ国党員・不動産賃貸業〈元〉江戸川区議,千葉大,5,0,58978,5.57,2
茨城,海野 徹,うみの とおる,海野,徹,うみの,とおる,70,維新,NA,新,0,農業〈元〉那珂市長・市議・材木店経営・伊勢甚百貨店社員,専修大,5,0,125542,11.86,2
茨城,小沼 巧,おぬま たくみ,小沼,巧,おぬま,たくみ,33,立憲,社民,新,0,〈元〉ボストンコンサルティンググループ社員・経産省職員,早大,5,1,237614,22.45,2
茨城,大内 久美子,おおうち くみこ,大内,久美子,おおうち,くみこ,69,共産,NA,新,0,党中央委員〈元〉県議・水戸市議・保育士,茨城大養護教諭養成所,5,0,129151,12.2,2
茨城,上月 良祐,こうづき りょうすけ,上月,良祐,こうづき,りょうすけ,56,自民,公明,現,1,党税調幹事〈元〉農水政務官・副知事・県総務部長・総務省職員,東大,5,1,507260,47.92,2
栃木,町田 紀光,まちだ としみつ,町田,紀光,まちだ,としみつ,40,諸派,NA,新,0,Ｎ国党員・コンビニ経営〈元〉小学校ＰＴＡ会長,NA,3,0,38508,5.52,1
栃木,高橋 克法,たかはし かつのり,高橋,克法,たかはし,かつのり,61,自民,公明,現,1,〈元〉国交政務官・高根沢町長・県議・参院議員秘書,明大,3,1,373099,53.51,1
栃木,加藤 千穂,かとう ちほ,加藤,千穂,かとう,ちほ,43,立憲,国民 / 社民,新,0,党県副代表〈元〉衆院議員秘書・司法書士事務所員,早大,3,0,285681,40.97,1
群馬,清水 真人,しみず まさと,清水,真人,しみず,まさと,44,自民,公明,新,0,社会福祉法人理事〈元〉県議・高崎市議・建設会社監査役,明学大,3,1,400369,53.94,1
群馬,斉藤 敦子,さいとう あつこ,斉藤,敦子,さいとう,あつこ,51,立憲,国民 / 社民,新,0,看護師・助産師・大学非常勤講師〈元〉大学准教授,東京福祉大院,3,0,286651,38.62,1
群馬,前田 みか子,まえだ みかこ,前田,みか子,まえだ,みかこ,47,諸派,NA,新,0,Ｎ国党員・介護職員〈元〉飲食店経営,NA,3,0,55209,7.44,1
埼玉,宍戸 千絵,ししど ちえ,宍戸,千絵,ししど,ちえ,41,国民,NA,新,0,〈元〉富士ゼロックス社員・独立行政法人職員,米ジョージワシントン大院,9,0,244399,8.78,4
埼玉,伊藤 岳,いとう がく,伊藤,岳,いとう,がく,59,共産,NA,新,0,党県常任委員・党県民運動委員長〈元〉党地区委員長,文教大,9,1,359297,12.9,4
埼玉,矢倉 克夫,やくら かつお,矢倉,克夫,やくら,かつお,44,公明,自民,現,1,弁護士〈元〉農水政務官・経産省任期付職員,東大,9,1,532302,19.12,4
埼玉,沢田 良,さわだ りょう,沢田,良,さわだ,りょう,39,維新,NA,新,0,党県幹事長〈元〉維新政治塾生・参院議員秘書,日大,9,0,204075,7.33,4
埼玉,鮫島 良司,さめじま りょうじ,鮫島,良司,さめじま,りょうじ,64,諸派,NA,新,0,登記情報会社員・安楽死党員〈元〉信販会社員,北九州大,9,0,21153,0.76,4
埼玉,熊谷 裕人,くまがい ひろと,熊谷,裕人,くまがい,ひろと,57,立憲,NA,新,0,党県代表代行〈元〉さいたま市議・参院議員秘書,中大,9,1,536338,19.26,4
埼玉,古川 俊治,ふるかわ としはる,古川,俊治,ふるかわ,としはる,56,自民,NA,現,2,慶大教授・医師・弁護士,英オックスフォード大院,9,1,786479,28.25,4
埼玉,小島 一郎,こじま いちろう,小島,一郎,こじま,いちろう,48,諸派,NA,新,0,幸福実現党県代表〈元〉党幹事長代理・幸福の科学出版部長,日大,9,0,19515,0.7,4
埼玉,佐藤 恵理子,さとう えりぃ,佐藤,恵理子,さとう,えりぃ,33,諸派,NA,新,0,タレント・Ｎ国党員・ネット動画配信者,白鷗大,9,0,80741,2.9,4
千葉,石井 準一,いしい じゅんいち,石井,準一,いしい,じゅんいち,61,自民,公明,現,2,参院予算委理事〈元〉建築資材会社役員・県議・衆院議員秘書,長生高,6,1,698993,30.54,3
千葉,長浜 博行,ながはま ひろゆき,長浜,博行,ながはま,ひろゆき,60,立憲,国民 / 社民,現,2,〈元〉民進党県代表・環境相・官房副長官・衆院議員・松下政経塾生,早大,6,1,661224,28.89,3
千葉,豊田 俊郎,とよだ としろう,豊田,俊郎,とよだ,としろう,66,自民,公明,現,1,〈元〉内閣府政務官・八千代市長・県議・測量会社長,中央工学校,6,1,436182,19.06,3
千葉,門田 正則,かどた まさのり,門田,正則,かどた,まさのり,72,諸派,NA,新,0,安楽死党員〈元〉船橋市議・空港内地上サービス会社員,久留米大,6,0,42643,1.86,3
