party,priority,name,yomi,lastname,firstname,last_kana,first_kana,age,status,previous,home,win,votes
自民党,1,藤井 一博,ふじい かずひろ,藤井,一博,ふじい,かずひろ,44,新,1,鳥取県,1,NA
自民党,1,梶原 大介,かじはら だいすけ,梶原,大介,かじはら,だいすけ,48,新,1,高知県,1,NA
自民党,0,赤松 健,あかまつ けん,赤松,健,あかまつ,けん,54,新,1,東京都,1,528053
自民党,0,長谷川 英晴,はせがわ ひではる,長谷川,英晴,はせがわ,ひではる,63,新,1,千葉県,1,414370
自民党,0,青山 繁晴,あおやま しげはる,青山,繁晴,あおやま,しげはる,69,現,2,東京都,1,373786
自民党,0,片山 さつき,かたやま さつき,片山,さつき,かたやま,さつき,63,現,3,静岡県,1,298091
自民党,0,足立 敏之,あだち としゆき,足立,敏之,あだち,としゆき,68,現,2,東京都,1,247754
自民党,0,自見 英子,じみ はなこ,自見,英子,じみ,はなこ,46,現,2,東京都,1,213369
自民党,0,藤木 真也,ふじき しんや,藤木,真也,ふじき,しんや,55,現,2,熊本県,1,187740
自民党,0,山田 宏,やまだ ひろし,山田,宏,やまだ,ひろし,64,現,2,東京都,1,175871
自民党,0,友納 理緒,とものう りお,友納,理緒,とものう,りお,41,新,1,東京都,1,174335
自民党,0,山谷 えり子,やまたに えりこ,山谷,えり子,やまたに,えりこ,71,現,4,東京都,1,172640
自民党,0,井上 義行,いのうえ よしゆき,井上,義行,いのうえ,よしゆき,59,元,2,神奈川県,1,165062
自民党,0,進藤 金日子,しんどう かねひこ,進藤,金日子,しんどう,かねひこ,59,現,2,千葉県,1,150707
自民党,0,今井 絵理子,いまい えりこ,今井,絵理子,いまい,えりこ,38,現,2,東京都,1,148630
自民党,0,阿達 雅志,あだち まさし,阿達,雅志,あだち,まさし,62,現,3,東京都,1,138994
自民党,0,神谷 政幸,かみや まさゆき,神谷,政幸,かみや,まさゆき,43,新,1,愛知県,1,127188
自民党,0,越智 俊之,おち としゆき,越智,俊之,おち,としゆき,44,新,1,広島県,1,118710
自民党,0,小川 克巳,おがわ かつみ,小川,克巳,おがわ,かつみ,70,現,1,熊本県,0,118222
自民党,0,木村 義雄,きむら よしお,木村,義雄,きむら,よしお,74,前,1,香川県,0,113925
自民党,0,宇都 隆史,うと たかし,宇都,隆史,うと,たかし,47,現,2,東京都,0,101840
自民党,0,園田 修光,そのだ しゅうこう,園田,修光,そのだ,しゅうこう,65,現,1,鹿児島県,0,93380
自民党,0,水落 敏栄,みずおち としえい,水落,敏栄,みずおち,としえい,79,現,3,千葉県,0,82920
自民党,0,藤末 健三,ふじすえ けんぞう,藤末,健三,ふじすえ,けんぞう,58,前,3,東京都,0,74972
自民党,0,岩城 光英,いわき みつひで,岩城,光英,いわき,みつひで,72,元,3,福島県,0,63714
自民党,0,河村 建一,かわむら けんいち,河村,建一,かわむら,けんいち,46,新,0,山口県,0,59007
自民党,0,吉岡 伸太郎,よしおか しんたろう,吉岡,伸太郎,よしおか,しんたろう,50,新,0,長崎県,0,55804
自民党,0,えり アルフィヤ,えり あるふぃや,えり,アルフィヤ,えり,あるふぃや,33,新,0,東京都,0,54646
自民党,0,尾立 源幸,おだち もとゆき,尾立,源幸,おだち,もとゆき,58,元,2,東京都,0,24576
自民党,0,向山 淳,むこうやま じゅん,向山,淳,むこうやま,じゅん,38,新,0,東京都,0,20638
自民党,0,有里 真穂,ありさと まほ,有里,真穂,ありさと,まほ,39,新,0,東京都,0,18561
自民党,0,高原 朗子,たかはら あきこ,高原,朗子,たかはら,あきこ,59,新,0,熊本県,0,17542
自民党,0,遠藤 奈央子,えんどう なおこ,遠藤,奈央子,えんどう,なおこ,47,新,0,東京都,0,7762
公明党,0,竹内 真二,たけうち しんじ,竹内,真二,たけうち,しんじ,58,現,2,千葉県,1,437228
公明党,0,横山 信一,よこやま しんいち,横山,信一,よこやま,しんいち,62,現,3,北海道,1,415178
公明党,0,谷合 正明,たにあい まさあき,谷合,正明,たにあい,まさあき,49,現,4,岡山県,1,351413
公明党,0,窪田 哲也,くぼた てつや,窪田,哲也,くぼた,てつや,56,新,1,福岡県,1,349359
公明党,0,熊野 正士,くまの せいし,熊野,正士,くまの,せいし,57,現,2,大阪府,1,269048
公明党,0,上田 勇,うえだ いさむ,上田,勇,うえだ,いさむ,63,新,1,神奈川県,1,268403
公明党,0,宮崎 勝,みやざき まさる,宮崎,勝,みやざき,まさる,64,現,1,埼玉県,0,9695
公明党,0,中北 京子,なかきた きょうこ,中北,京子,なかきた,きょうこ,44,新,0,東京都,0,9640
公明党,0,水島 春香,みずしま はるか,水島,春香,みずしま,はるか,33,新,0,埼玉県,0,9058
公明党,0,河合 綾,かわい あや,河合,綾,かわい,あや,56,新,0,群馬県,0,5417
公明党,0,中嶋 健二,なかしま けんじ,中嶋,健二,なかしま,けんじ,43,新,0,東京都,0,2786
公明党,0,塩野 正貴,しおの まさたか,塩野,正貴,しおの,まさたか,36,新,0,埼玉県,0,1717
公明党,0,深沢 淳,ふかざわ あつし,深沢,淳,ふかざわ,あつし,43,新,0,東京都,0,1212
公明党,0,伊大知 孝一,いおち こういち,伊大知,孝一,いおち,こういち,39,新,0,東京都,0,797
公明党,0,奈良 直記,なら なおき,奈良,直記,なら,なおき,41,新,0,東京都,0,738
公明党,0,淀屋 伸雄,よどや のぶお,淀屋,伸雄,よどや,のぶお,45,新,0,広島県,0,730
公明党,0,光延 康治,みつのぶ やすはる,光延,康治,みつのぶ,やすはる,41,新,0,東京都,0,426
立憲民主党,0,辻元 清美,つじもと きよみ,辻元,清美,つじもと,きよみ,62,新,1,大阪府,1,428859
立憲民主党,0,鬼木 誠,おにき まこと,鬼木,誠,おにき,まこと,58,新,1,福岡県,1,171619
立憲民主党,0,古賀 千景,こが ちかげ,古賀,千景,こが,ちかげ,55,新,1,福岡県,1,144344
立憲民主党,0,柴 慎一,しば しんいち,柴,慎一,しば,しんいち,57,新,1,東京都,1,127382
立憲民主党,0,村田 享子,むらた きょうこ,村田,享子,むらた,きょうこ,39,新,1,東京都,1,125340
立憲民主党,0,青木 愛,あおき あい,青木,愛,あおき,あい,56,現,3,東京都,1,123742
立憲民主党,0,石橋 通宏,いしばし みちひろ,石橋,通宏,いしばし,みちひろ,57,現,3,東京都,1,111703
立憲民主党,0,白 真勲,はく しんくん,白,真勲,はく,しんくん,63,現,3,東京都,0,84242
立憲民主党,0,石川 雅俊,いしかわ まさとし,石川,雅俊,いしかわ,まさとし,42,新,0,東京都,0,48702
立憲民主党,0,有田 芳生,ありた よしふ,有田,芳生,ありた,よしふ,70,現,2,東京都,0,46715
立憲民主党,0,堀越 啓仁,ほりこし けいにん,堀越,啓仁,ほりこし,けいにん,42,新,0,群馬県,0,39631
立憲民主党,0,栗下 善行,くりした ぜんこう,栗下,善行,くりした,ぜんこう,39,新,0,東京都,0,39555
立憲民主党,0,はた ともこ,はた ともこ,はた,ともこ,はた,ともこ,55,元,1,岡山県,0,18208
立憲民主党,0,要 友紀子,かなめ ゆきこ,要,友紀子,かなめ,ゆきこ,46,新,0,青森県,0,17529
立憲民主党,0,森永 美樹,もりなが みき,森永,美樹,もりなが,みき,58,新,0,大分県,0,10055
立憲民主党,0,河野 麻美,かわの あさみ,河野,麻美,かわの,あさみ,33,新,0,徳島県,0,7941
立憲民主党,0,沢邑 啓子,さわむら けいこ,沢邑,啓子,さわむら,けいこ,59,新,0,兵庫県,0,7602
立憲民主党,0,木村 正弘,きむら まさひろ,木村,正弘,きむら,まさひろ,56,新,0,山形県,0,7101
立憲民主党,0,田中 勝一,たなか しょういち,田中,勝一,たなか,しょういち,53,新,0,北海道,0,4503
立憲民主党,0,菅原 美香,すがはら みか,菅原,美香,すがはら,みか,60,新,0,高知県,0,2773
日本維新の会,0,石井 章,いしい あきら,石井,章,いしい,あきら,65,現,2,茨城県,1,123279
日本維新の会,0,石井 苗子,いしい みつこ,石井,苗子,いしい,みつこ,68,現,2,神奈川県,1,74118
日本維新の会,0,松野 明美,まつの あけみ,松野,明美,まつの,あけみ,54,新,1,熊本県,1,55608
日本維新の会,0,中条 きよし,なかじょう きよし,中条,きよし,なかじょう,きよし,76,新,1,NA,1,47420
日本維新の会,0,猪瀬 直樹,いのせ なおき,猪瀬,直樹,いのせ,なおき,75,新,1,東京都,1,44211
日本維新の会,0,金子 道仁,かねこ みちひと,金子,道仁,かねこ,みちひと,52,新,1,兵庫県,1,36944
日本維新の会,0,串田 誠一,くしだ せいいち,串田,誠一,くしだ,せいいち,64,新,1,神奈川県,1,35842
日本維新の会,0,青島 健太,あおしま けんた,青島,健太,あおしま,けんた,64,新,1,東京都,1,33553
日本維新の会,0,上野 蛍,うえの ほたる,上野,蛍,うえの,ほたる,38,新,0,富山県,0,29095
日本維新の会,0,神谷 ゆり,かみたに ゆり,神谷,ゆり,かみたに,ゆり,35,新,0,京都府,0,27215
日本維新の会,0,後藤 斎,ごとう ひとし,後藤,斎,ごとう,ひとし,64,新,0,山梨県,0,24874
日本維新の会,0,森口 あゆみ,もりぐち あゆみ,森口,あゆみ,もりぐち,あゆみ,57,新,0,三重県,0,23664
日本維新の会,0,岸口 実,きしぐち みのる,岸口,実,きしぐち,みのる,58,新,0,兵庫県,0,22399
日本維新の会,0,松浦 大悟,まつうら だいご,松浦,大悟,まつうら,だいご,52,元,1,秋田県,0,20222
日本維新の会,0,飯田 哲史,いいだ さとし,飯田,哲史,いいだ,さとし,38,新,0,大阪府,0,19522
日本維新の会,0,井上 一徳,いのうえ かずのり,井上,一徳,いのうえ,かずのり,59,新,0,京都府,0,18370
日本維新の会,0,山口 和之,やまぐち かずゆき,山口,和之,やまぐち,かずゆき,66,前,1,福島県,0,18175
日本維新の会,0,石田 隆史,いしだ たかし,石田,隆史,いしだ,たかし,59,新,0,大阪府,0,17408
日本維新の会,0,西川 鎮央,にしかわ やすお,西川,鎮央,にしかわ,やすお,50,新,0,栃木県,0,16722
日本維新の会,0,中川 健一,なかがわ けんいち,中川,健一,なかがわ,けんいち,53,新,0,愛知県,0,14986
日本維新の会,0,水ノ上 成彰,みずのうえ なるあき,水ノ上,成彰,みずのうえ,なるあき,59,新,0,大阪府,0,11701
日本維新の会,0,木内 孝胤,きうち たかたね,木内,孝胤,きうち,たかたね,55,新,0,東京都,0,11313
日本維新の会,0,小林 悟,こばやし さとる,小林,悟,こばやし,さとる,57,新,0,北海道,0,9370
日本維新の会,0,西郷 隆太郎,さいごう りゅうたろう,西郷,隆太郎,さいごう,りゅうたろう,39,新,0,東京都,0,8637
日本維新の会,0,八田 盛茂,はった もりしげ,八田,盛茂,はった,もりしげ,65,新,0,北海道,0,8346
日本維新の会,0,中村 悠基,なかむら ゆうき,中村,悠基,なかむら,ゆうき,33,新,0,NA,0,6143
共産党,0,田村 智子,たむら ともこ,田村,智子,たむら,ともこ,57,現,3,東京都,1,112132
共産党,0,仁比 聡平,にひ そうへい,仁比,聡平,にひ,そうへい,58,前,3,福岡県,1,36098
共産党,0,岩渕 友,いわぶち とも,岩渕,友,いわぶち,とも,45,現,2,福島県,1,35392
共産党,0,大門 実紀史,だいもん みきし,大門,実紀史,だいもん,みきし,66,現,4,東京都,0,31570
共産党,0,武田 良介,たけだ りょうすけ,武田,良介,たけだ,りょうすけ,42,現,1,長野県,0,23370
共産党,0,山本 訓子,やまもと のりこ,山本,訓子,やまもと,のりこ,36,新,0,大阪府,0,11736
共産党,0,小山 早紀,こやま さき,小山,早紀,こやま,さき,36,新,0,長野県,0,6618
共産党,0,今村 あゆみ,いまむら あゆみ,今村,あゆみ,いまむら,あゆみ,56,新,0,神奈川県,0,5768
共産党,0,片山 和子,かたやま かずこ,片山,和子,かたやま,かずこ,46,新,0,埼玉県,0,4646
共産党,0,佐々木 とし子,ささき としこ,佐々木,とし子,ささき,としこ,68,新,0,北海道,0,4635
共産党,0,吉田 恭子,よしだ きょうこ,吉田,恭子,よしだ,きょうこ,41,新,0,岩手県,0,4174
共産党,0,西田 佐枝子,にしだ さえこ,西田,佐枝子,にしだ,さえこ,51,新,0,大阪府,0,3674
共産党,0,丸本 由美子,まるもと ゆみこ,丸本,由美子,まるもと,ゆみこ,59,新,0,福島県,0,2654
共産党,0,渡辺 喜代子,わたなべ きよこ,渡辺,喜代子,わたなべ,きよこ,66,新,0,千葉県,0,2199
共産党,0,上里 清美,うえざと きよみ,上里,清美,うえざと,きよみ,66,新,0,沖縄県,0,2141
共産党,0,花木 則彰,はなき のりあき,花木,則彰,はなき,のりあき,62,新,0,宮城県,0,1488
共産党,0,片岡 朗,かたおか ろう,片岡,朗,かたおか,ろう,62,新,0,愛媛県,0,1453
共産党,0,高橋 真生子,たかはし まきこ,高橋,真生子,たかはし,まきこ,48,新,0,愛知県,0,1416
共産党,0,赤田 勝紀,あかだ かつのり,赤田,勝紀,あかだ,かつのり,54,新,0,兵庫県,0,1258
共産党,0,冨田 直樹,とみた なおき,冨田,直樹,とみた,なおき,46,新,0,東京都,0,1164
共産党,0,西沢 博,にしざわ ひろし,西沢,博,にしざわ,ひろし,42,新,0,新潟県,0,968
共産党,0,細野 真理,ほその まり,細野,真理,ほその,まり,40,新,0,東京都,0,872
共産党,0,堀川 朗子,ほりかわ あきこ,堀川,朗子,ほりかわ,あきこ,35,新,0,京都府,0,736
共産党,0,深田 秀美,ふかだ ひでみ,深田,秀美,ふかだ,ひでみ,62,新,0,熊本県,0,583
共産党,0,来田 時子,きた ときこ,来田,時子,きた,ときこ,71,新,0,福岡県,0,495
国民民主党,0,竹詰 仁,たけづめ ひとし,竹詰,仁,たけづめ,ひとし,53,新,1,東京都,1,238956
国民民主党,0,浜口 誠,はまぐち まこと,浜口,誠,はまぐち,まこと,57,現,2,愛知県,1,234744
国民民主党,0,川合 孝典,かわい たかのり,川合,孝典,かわい,たかのり,58,現,3,東京都,1,211783
国民民主党,0,矢田 稚子,やた わかこ,矢田,稚子,やた,わかこ,56,現,1,大阪府,0,159929
国民民主党,0,山下 容子,やました ようこ,山下,容子,やました,ようこ,63,新,0,東京都,0,22311
国民民主党,0,上松 正和,うえまつ まさかず,上松,正和,うえまつ,まさかず,35,新,0,東京都,0,20790
国民民主党,0,樽井 良和,たるい よしかず,樽井,良和,たるい,よしかず,54,元,1,東京都,0,16370
国民民主党,0,城戸 佳織,きど かおり,城戸,佳織,きど,かおり,54,新,0,東京都,0,16081
国民民主党,0,河辺 佳朗,かわべ よしろう,河辺,佳朗,かわべ,よしろう,59,新,0,岐阜県,0,3822
れいわ新選組,1,天畠 大輔,てんばた だいすけ,天畠,大輔,てんばた,だいすけ,40,新,1,東京都,1,NA
れいわ新選組,0,水道橋博士 ,すいどうばしはかせ ,水道橋博士,,すいどうばしはかせ,,59,新,1,東京都,1,117794
れいわ新選組,0,大島 九州男,おおしま くすお,大島,九州男,おおしま,くすお,61,前,2,福岡県,0,28123
れいわ新選組,0,長谷川 羽衣子,はせがわ ういこ,長谷川,羽衣子,はせがわ,ういこ,40,新,0,京都府,0,21826
れいわ新選組,0,辻 恵,つじ めぐむ,辻,恵,つじ,めぐむ,74,新,0,東京都,0,18393
れいわ新選組,0,蓮池 透,はすいけ とおる,蓮池,透,はすいけ,とおる,67,新,0,新潟県,0,17684
れいわ新選組,0,依田 花蓮,よだ かれん,依田,花蓮,よだ,かれん,50,新,0,東京都,0,14821
れいわ新選組,0,高井 崇志,たかい たかし,高井,崇志,たかい,たかし,52,新,0,岡山県,0,13326
れいわ新選組,0,金 泰泳,きむ てよん,金,泰泳,きむ,てよん,59,新,0,神奈川県,0,13041
