party,n_cand,n_priority,seats_won,votes_party,votes_cand,votes_total,vshare
自民党,33,2,18,13713427,4542817,18256244,34.43
日本維新の会,26,0,8,7086854,759141,7845995,14.8
立憲民主党,20,0,7,5204363,1567550,6771913,12.77
公明党,17,0,6,4048585,2132846,6181431,11.66
共産党,25,0,3,3321097,297245,3618342,6.82
国民民主党,9,0,3,2234868,924789,3159657,5.96
れいわ新選組,9,1,2,2074146,245010,2319156,4.37
NHK党,9,0,1,834995,418877,1253872,2.36
参政党,5,0,1,1370215,398170,1768385,3.33
社民党,8,0,1,963899,294602,1258501,2.37
ごぼうの党,11,8,0,184285,9439,193724,0.37
幸福実現党,1,0,0,129662,18358,148020,0.28
新党くにもり,2,0,0,61907,15954,77861,0.15
日本第一党,2,0,0,76912,32133,109045,0.21
維新政党・新風,1,0,0,56949,8158,65107,0.12
