prefecture,name,yomi,lastname,firstname,last_kana,first_kana,age,party,recommended,status,previous,n_cand,win,votes,vshare,magnitude
北海道,高橋 はるみ,たかはし はるみ,高橋,はるみ,たかはし,はるみ,71,自民,NA,現,1,12,1,546118,21.51,3
北海道,田中 義人,たなか よしひと,田中,義人,たなか,よしひと,53,参政,NA,新,0,12,0,325070,12.8,3
北海道,小野寺 秀,おのでら まさる,小野寺,秀,おのでら,まさる,61,保守,NA,新,0,12,0,112076,4.41,3
北海道,後藤 朋子,ごとう ともこ,後藤,朋子,ごとう,ともこ,55,諸派,NA,新,0,12,0,13144,0.52,3
北海道,宮内 史織,みやうち しおり,宮内,史織,みやうち,しおり,33,共産,NA,新,0,12,0,147880,5.82,3
北海道,岩本 剛人,いわもと つよひと,岩本,剛人,いわもと,つよひと,60,自民,公明,現,1,12,1,333558,13.14,3
北海道,稲原 宗能,いなはら むねよし,稲原,宗能,いなはら,むねよし,36,諸派,NA,新,0,12,0,33038,1.3,3
北海道,鈴木 雅貴,すずき まさき,鈴木,雅貴,すずき,まさき,33,国民,NA,新,0,12,0,324272,12.77,3
北海道,勝部 賢志,かつべ けんじ,勝部,賢志,かつべ,けんじ,65,立憲,社民,現,1,12,1,501081,19.73,3
北海道,オカダ 美輪子,おかだ みわこ,オカダ,美輪子,おかだ,みわこ,45,維新,NA,新,0,12,0,56253,2.22,3
北海道,高杉 保次,たかすぎ やすじ,高杉,保次,たかすぎ,やすじ,56,諸派,NA,新,0,12,0,7420,0.29,3
北海道,野村パターソン 和孝,のむらぱたーそん かずたか,野村パターソン,和孝,のむらぱたーそん,かずたか,40,れいわ,NA,新,0,12,0,139301,5.49,3
青森,滝沢 求,たきさわ もとめ,滝沢,求,たきさわ,もとめ,66,自民,公明,現,2,5,0,197966,36.34,1
青森,福士 珠美,ふくし ますみ,福士,珠美,ふくし,ますみ,60,立憲,社民,新,0,5,1,214613,39.39,1
青森,加藤 勉,かとう つとむ,加藤,勉,かとう,つとむ,65,参政,NA,新,0,5,0,91083,16.72,1
青森,荻野 優子,おぎの ゆうこ,荻野,優子,おぎの,ゆうこ,33,共産,NA,新,0,5,0,32317,5.93,1
青森,佐々木 晃,ささき あきら,佐々木,晃,ささき,あきら,53,諸派,NA,新,0,5,0,8837,1.62,1
岩手,吉田 博信,よしだ ひろのぶ,吉田,博信,よしだ,ひろのぶ,59,諸派,NA,新,0,4,0,11676,2.03,1
岩手,横沢 高徳,よこさわ たかのり,横沢,高徳,よこさわ,たかのり,53,立憲,NA,現,1,4,1,278888,48.39,1
岩手,及川 泰輔,おいかわ たいすけ,及川,泰輔,おいかわ,たいすけ,46,参政,NA,新,0,4,0,106806,18.53,1
岩手,平野 達男,ひらの たつお,平野,達男,ひらの,たつお,71,自民,公明,元,3,4,0,178958,31.05,1
宮城,角野 為耶,すみの なすか,角野,為耶,すみの,なすか,35,諸派,NA,新,0,7,0,56242,5.53,1
宮城,石井 義人,いしい よしひと,石井,義人,いしい,よしひと,62,れいわ,NA,新,0,7,0,87720,8.62,1
宮城,石垣 のりこ,いしがき のりこ,石垣,のりこ,いしがき,のりこ,50,立憲,NA,現,1,7,1,367794,36.16,1
宮城,ローレンス 綾子,ろーれんす あやこ,ローレンス,綾子,ろーれんす,あやこ,55,参政,NA,新,0,7,0,181773,17.87,1
宮城,石川 光次郎,いしかわ みつじろう,石川,光次郎,いしかわ,みつじろう,58,自民,公明,新,0,7,0,293732,28.88,1
宮城,中村 高志,なかむら たかし,中村,高志,なかむら,たかし,65,無所,NA,新,0,7,0,17505,1.72,1
宮城,前田 太一,まえだ たいち,前田,太一,まえだ,たいち,39,諸派,NA,新,0,7,0,12473,1.23,1
秋田,本田 幸久,ほんだ ゆきひさ,本田,幸久,ほんだ,ゆきひさ,43,諸派,NA,新,0,4,0,6715,1.47,1
秋田,佐藤 美和子,さとう みわこ,佐藤,美和子,さとう,みわこ,65,参政,NA,新,0,4,0,60153,13.14,1
秋田,中泉 松司,なかいずみ まつじ,中泉,松司,なかいずみ,まつじ,46,自民,公明,元,1,4,0,171324,37.41,1
秋田,寺田 静,てらた しずか,寺田,静,てらた,しずか,50,無所,NA,現,1,4,1,219717,47.98,1
山形,芳賀 道也,はが みちや,芳賀,道也,はが,みちや,67,無所,国民,現,1,5,1,248864,46.81,1
山形,佐藤 友昭,さとう ともあき,佐藤,友昭,さとう,ともあき,52,参政,NA,新,0,5,0,66262,12.46,1
山形,大内 理加,おおうち りか,大内,理加,おおうち,りか,62,自民,公明,新,0,5,0,194478,36.58,1
山形,三井寺 修,みいでら おさむ,三井寺,修,みいでら,おさむ,45,共産,NA,新,0,5,0,17387,3.27,1
山形,大貫 学,おおぬき まなぶ,大貫,学,おおぬき,まなぶ,67,諸派,NA,新,0,5,0,4701,0.88,1
福島,大山 里幸子,おおやま りさこ,大山,里幸子,おおやま,りさこ,51,参政,NA,新,0,5,0,184286,21.48,1
福島,越智 寛之,おち ひろゆき,越智,寛之,おち,ひろゆき,51,諸派,NA,新,0,5,0,10070,1.17,1
福島,森 雅子,もり まさこ,森,雅子,もり,まさこ,60,自民,NA,現,3,5,1,327951,38.22,1
福島,石原 洋三郎,いしはら ようざぶろう,石原,洋三郎,いしはら,ようざぶろう,52,立憲,NA,新,0,5,0,309184,36.03,1
福島,遠藤 雄大,えんどう ゆうだい,遠藤,雄大,えんどう,ゆうだい,40,無所,NA,新,0,5,0,26632,3.1,1
茨城,桜井 祥子,さくらい しょうこ,桜井,祥子,さくらい,しょうこ,41,参政,NA,新,0,8,1,308772,24.8,2
茨城,牧山 康志,まきやま やすし,牧山,康志,まきやま,やすし,65,無所,NA,新,0,8,0,36529,2.93,2
茨城,石井 憲一郎,いしい けんいちろう,石井,憲一郎,いしい,けんいちろう,58,諸派,NA,新,0,8,0,15148,1.22,2
茨城,北崎 瀬里奈,きたさき せりな,北崎,瀬里奈,きたさき,せりな,35,維新,NA,新,0,8,0,102445,8.23,2
茨城,小沼 巧,おぬま たくみ,小沼,巧,おぬま,たくみ,39,立憲,NA,現,1,8,0,280716,22.55,2
茨城,上月 良祐,こうづき りょうすけ,上月,良祐,こうづき,りょうすけ,62,自民,公明,現,2,8,1,417601,33.55,2
茨城,高橋 誠一郎,たかはし せいいちろう,高橋,誠一郎,たかはし,せいいちろう,30,共産,NA,新,0,8,0,66866,5.37,2
茨城,酒井 明男,さかい あきお,酒井,明男,さかい,あきお,50,諸派,NA,新,0,8,0,16771,1.35,2
栃木,大森 紀明,おおもり のりあき,大森,紀明,おおもり,のりあき,54,参政,NA,新,0,6,0,181620,22.1,1
栃木,板津 由華,いたづ ゆか,板津,由華,いたづ,ゆか,37,立憲,NA,新,0,6,0,266042,32.37,1
栃木,高橋 克法,たかはし かつのり,高橋,克法,たかはし,かつのり,67,自民,公明,現,2,6,1,301373,36.67,1
栃木,福田 道夫,ふくだ みちお,福田,道夫,ふくだ,みちお,66,共産,NA,新,0,6,0,38102,4.64,1
栃木,高橋 真佐子,たかはし まさこ,高橋,真佐子,たかはし,まさこ,60,諸派,NA,新,0,6,0,16071,1.96,1
栃木,笠間 慎一郎,かさま しんいちろう,笠間,慎一郎,かさま,しんいちろう,76,無所,NA,新,0,6,0,18715,2.28,1
群馬,青木 ひとみ,あおき ひとみ,青木,ひとみ,あおき,ひとみ,44,参政,NA,新,0,7,0,260524,31.5,1
群馬,清水 真人,しみず まさと,清水,真人,しみず,まさと,50,自民,公明,現,1,7,1,288284,34.86,1
群馬,井田 雅彦,いだ まさひこ,井田,雅彦,いだ,まさひこ,49,諸派,NA,新,0,7,0,30273,3.66,1
群馬,高橋 保,たかはし たもつ,高橋,保,たかはし,たもつ,67,共産,NA,新,0,7,0,49347,5.97,1
群馬,河村 正剛,かわむら まさたけ,河村,正剛,かわむら,まさたけ,52,立憲,NA,新,0,7,0,163469,19.77,1
群馬,上楽 宗之,じょうらく むねゆき,上楽,宗之,じょうらく,むねゆき,46,諸派,NA,新,0,7,0,10571,1.28,1
群馬,辛嶋 美紀,からしま みき,辛嶋,美紀,からしま,みき,49,無所,NA,新,0,7,0,24497,2.96,1
埼玉,江原 久美子,えはら くみこ,江原,久美子,えはら,くみこ,54,国民,NA,新,0,15,1,535706,15.69,4
埼玉,津村 大作,つむら だいさく,津村,大作,つむら,だいさく,51,諸派,NA,新,0,15,0,7992,0.23,4
埼玉,伊藤 岳,いとう がく,伊藤,岳,いとう,がく,65,共産,NA,現,1,15,0,227488,6.66,4
埼玉,矢倉 克夫,やくら かつお,矢倉,克夫,やくら,かつお,50,公明,自民,現,2,15,0,441613,12.93,4
埼玉,武藤 かず子,むとう かずこ,武藤,かず子,むとう,かずこ,43,諸派,NA,新,0,15,0,83957,2.46,4
埼玉,増山 優花,ますやま ゆうか,増山,優花,ますやま,ゆうか,42,諸派,NA,新,0,15,0,25312,0.74,4
埼玉,高井 環,たかい たまき,高井,環,たかい,たまき,54,社民,NA,新,0,15,0,50335,1.47,4
埼玉,山田 信一,やまだ しんいち,山田,信一,やまだ,しんいち,54,諸派,NA,新,0,15,0,26469,0.78,4
埼玉,桜井 奈々絵,さくらい ななえ,桜井,奈々絵,さくらい,ななえ,50,れいわ,NA,新,0,15,0,198936,5.82,4
