prefecture,district,name,party,status,votes,voteshare,result,dual
北海道,北海道１区,横路　孝弘,民主,前,116398,43.47,win,1
北海道,北海道１区,船橋　利実,自民,前,105918,39.55,lose,1
北海道,北海道１区,野呂田　博之,共産,新,32031,11.96,lose,0
北海道,北海道１区,飯田　佳宏,無所,新,13444,5.02,lose,0
北海道,北海道２区,吉川　貴盛,自民,前,88667,38.85,win,1
北海道,北海道２区,松木　謙公,維新,元,56375,24.7,PR-win,1
北海道,北海道２区,池田　真紀,無所,新,46922,20.56,lose,0
北海道,北海道２区,金倉　昌俊,共産,新,36277,15.89,lose,1
北海道,北海道３区,高木　宏寿,自民,前,92649,39.47,win,1
北海道,北海道３区,荒井　聰,民主,前,85591,36.46,PR-win,1
北海道,北海道３区,吉岡　弘子,共産,新,30271,12.9,lose,0
北海道,北海道３区,小和田　康文,維新,新,26211,11.17,lose,1
北海道,北海道４区,中村　裕之,自民,前,77690,45.36,win,1
北海道,北海道４区,鉢呂　吉雄,民主,元,70049,40.9,lose,1
北海道,北海道４区,酒井　隆裕,共産,新,23532,13.74,lose,0
北海道,北海道５区,町村　信孝,自民,前,131394,50.95,win,1
北海道,北海道５区,勝部　賢志,民主,新,94975,36.83,lose,1
北海道,北海道５区,鈴木　龍次,共産,新,31523,12.22,lose,0
北海道,北海道６区,佐々木　隆博,民主,元,104595,45.28,win,1
北海道,北海道６区,今津　寛,自民,前,101748,44.05,PR-win,1
北海道,北海道６区,荻生　和敏,共産,新,24656,10.67,lose,0
北海道,北海道７区,伊東　良孝,自民,前,72281,45.88,win,1
北海道,北海道７区,鈴木　貴子,民主,前,72056,45.73,PR-win,1
北海道,北海道７区,石川　明美,共産,新,13218,8.39,lose,0
北海道,北海道８区,逢坂　誠二,民主,元,97745,47.32,win,1
北海道,北海道８区,前田　一男,自民,前,91351,44.22,PR-win,1
北海道,北海道８区,原田　有康,共産,新,17465,8.46,lose,0
北海道,北海道９区,堀井　学,自民,前,97805,45.73,win,1
北海道,北海道９区,山岡　達丸,民主,元,86252,40.32,lose,1
北海道,北海道９区,工藤　良一,共産,新,29841,13.95,lose,0
北海道,北海道１０区,稲津　久,公明,前,86722,48.52,win,0
北海道,北海道１０区,神谷　裕,民主,新,71219,39.84,lose,1
北海道,北海道１０区,木村　賢治,共産,新,20803,11.64,lose,0
北海道,北海道１１区,中川　郁子,自民,前,87118,52.22,win,1
北海道,北海道１１区,三津　丈夫,民主,新,61405,36.81,lose,1
北海道,北海道１１区,畑中　庸助,共産,新,18303,10.97,lose,0
北海道,北海道１２区,武部　新,自民,前,92357,53.43,win,1
北海道,北海道１２区,水上　美華,民主,新,62035,35.89,lose,1
北海道,北海道１２区,菅原　誠,共産,新,18451,10.68,lose,0
青森,青森１区,津島　淳,自民,前,66041,45.06,win,1
青森,青森１区,升田　世喜男,維新,新,62254,42.47,PR-win,1
青森,青森１区,吉俣　洋,共産,新,18274,12.47,lose,0
青森,青森２区,江渡　聡徳,自民,前,81054,67.48,win,1
青森,青森２区,中野渡　詔子,維新,元,28282,23.55,lose,1
青森,青森２区,小笠原　良子,共産,新,10775,8.97,lose,0
青森,青森３区,大島　理森,自民,前,59280,51.22,win,1
青森,青森３区,田名部　匡代,民主,元,49142,42.46,lose,1
青森,青森３区,松橋　三夫,共産,新,7311,6.32,lose,0
青森,青森４区,木村　太郎,自民,前,79156,59.47,win,1
青森,青森４区,山内　崇,民主,新,38106,28.63,lose,1
青森,青森４区,千葉　浩規,共産,新,15831,11.89,lose,0
岩手,岩手１区,階　猛,民主,前,76787,52.02,win,1
岩手,岩手１区,高橋　比奈子,自民,前,46409,31.44,PR-win,1
岩手,岩手１区,吉田　恭子,共産,新,15374,10.41,lose,0
岩手,岩手１区,細川　光正,社民,新,9052,6.13,lose,1
岩手,岩手２区,鈴木　俊一,自民,前,73661,50.12,win,1
岩手,岩手２区,畑　浩治,生活,前,62009,42.19,lose,1
岩手,岩手２区,久保　幸男,共産,新,11289,7.68,lose,0
岩手,岩手３区,黄川田　徹,民主,前,80339,56.64,win,1
岩手,岩手３区,橋本　英教,自民,前,46165,32.55,PR-win,1
岩手,岩手３区,菊池　幸夫,共産,新,15328,10.81,lose,0
岩手,岩手４区,小沢　一郎,生活,前,75293,47.79,win,1
岩手,岩手４区,藤原　崇,自民,前,57824,36.7,PR-win,1
岩手,岩手４区,高橋　綱記,共産,新,24421,15.5,lose,0
宮城,宮城１区,土井　亨,自民,前,93345,46.78,win,1
宮城,宮城１区,郡　和子,民主,前,81113,40.65,PR-win,1
宮城,宮城１区,松井　秀明,共産,新,25063,12.56,lose,0
宮城,宮城２区,秋葉　賢也,自民,前,91289,45.52,win,1
宮城,宮城２区,林　宙紀,維新,前,60653,30.25,lose,1
宮城,宮城２区,大内　真理,共産,新,21630,10.79,lose,0
宮城,宮城２区,増元　照明,次世,新,15228,7.59,lose,1
宮城,宮城２区,桑島　崇史,社民,新,11725,5.85,lose,1
宮城,宮城３区,西村　明宏,自民,前,76246,54.49,win,1
宮城,宮城３区,橋本　清仁,民主,元,48957,34.99,lose,1
宮城,宮城３区,吉田　剛,共産,新,14712,10.51,lose,0
宮城,宮城４区,伊藤　信太郎,自民,前,68773,57.28,win,1
宮城,宮城４区,井戸　正枝,民主,元,35242,29.35,lose,1
宮城,宮城４区,小高　洋,共産,新,16041,13.36,lose,0
宮城,宮城５区,安住　淳,民主,前,64753,59.51,win,1
宮城,宮城５区,勝沼　栄明,自民,前,34293,31.52,PR-win,1
宮城,宮城５区,高村　直也,共産,新,9763,8.97,lose,0
宮城,宮城６区,小野寺　五典,自民,前,101223,70.6,win,1
宮城,宮城６区,鎌田　さゆり,民主,元,32797,22.88,lose,1
宮城,宮城６区,内藤　隆司,共産,新,9351,6.52,lose,0
秋田,秋田１区,冨樫　博之,自民,前,66388,47.02,win,1
秋田,秋田１区,寺田　学,民主,元,57782,40.92,PR-win,1
秋田,秋田１区,山内　梅良,共産,新,11579,8.2,lose,0
秋田,秋田１区,伊藤　正通,社民,新,5441,3.85,lose,1
秋田,秋田２区,金田　勝年,自民,前,82046,54.7,win,1
秋田,秋田２区,緑川　貴士,民主,新,56701,37.8,lose,1
秋田,秋田２区,藤本　金治,共産,新,11247,7.5,lose,0
秋田,秋田３区,御法川　信英,自民,前,94096,47.79,win,1
秋田,秋田３区,村岡　敏英,維新,前,88483,44.94,PR-win,1
秋田,秋田３区,我妻　桂子,共産,新,14333,7.28,lose,0
山形,山形１区,遠藤　利明,自民,前,98508,61.14,win,1
山形,山形１区,原田　和広,民主,新,46029,28.57,lose,1
山形,山形１区,石川　渉,共産,新,16577,10.29,lose,0
山形,山形２区,鈴木　憲和,自民,前,97915,49.1,win,1
山形,山形２区,近藤　洋介,民主,前,90420,45.34,PR-win,1
山形,山形２区,白根沢　澄子,共産,新,11086,5.56,lose,0
山形,山形３区,加藤　鮎子,自民,新,79872,42.86,win,1
山形,山形３区,阿部　寿一,無所,前,78384,42.06,lose,0
山形,山形３区,吉田　大成,民主,新,15981,8.58,lose,1
山形,山形３区,長谷川　剛,共産,新,10794,5.79,lose,0
山形,山形３区,佐藤　誠,無所,新,1319,0.71,lose,0
福島,福島１区,亀岡　偉民,自民,前,102929,47.37,win,1
福島,福島１区,金子　恵美,民主,新,97630,44.93,PR-win,1
福島,福島１区,渡部　保子,共産,新,16748,7.71,lose,0
福島,福島２区,根本　匠,自民,前,91686,55.24,win,1
福島,福島２区,岡部　光規,民主,新,58358,35.16,lose,1
福島,福島２区,平　善彦,共産,新,15947,9.61,lose,0
福島,福島３区,玄葉　光一郎,民主,前,94462,59.99,win,1
福島,福島３区,上杉　謙太郎,自民,新,49174,31.23,lose,1
福島,福島３区,横田　洋子,共産,新,13824,8.78,lose,0
福島,福島４区,小熊　慎司,維新,前,56856,42.8,win,1
福島,福島４区,菅家　一郎,自民,前,56440,42.48,PR-win,1
福島,福島４区,小川　右善,社民,新,10139,7.63,lose,1
福島,福島４区,田中　和加子,共産,新,9413,7.09,lose,0
福島,福島５区,吉野　正芳,自民,前,71102,46.57,win,1
福島,福島５区,吉田　泉,民主,前,60041,39.33,lose,1
福島,福島５区,吉田　英策,共産,新,21527,14.1,lose,0
茨城,茨城１区,田所　嘉徳,自民,前,105536,49.14,win,1
茨城,茨城１区,福島　伸享,民主,元,77179,35.94,PR-win,1
茨城,茨城１区,大内　久美子,共産,新,32048,14.92,lose,1
茨城,茨城２区,額賀　福志郎,自民,前,142238,76.66,win,1
茨城,茨城２区,川井　宏子,共産,新,43303,23.34,lose,0
茨城,茨城３区,葉梨　康弘,自民,前,120500,57.64,win,1
茨城,茨城３区,石井　章,維新,元,55103,26.36,lose,1
茨城,茨城３区,小林　恭子,共産,新,33465,16.01,lose,0
茨城,茨城４区,梶山　弘志,自民,前,95655,64.47,win,1
茨城,茨城４区,高野　守,民主,元,41507,27.98,lose,1
茨城,茨城４区,堀江　鶴治,共産,新,9331,6.29,lose,0
