prefecture,dist_no,district,name,yomi,lastname,firstname,last_kana,first_kana,age,party,recommended,status,previous,duplicate,win_smd,win_pr,votes,vshare
北海道,1,北海道1区,船橋 利実,ふなはし としみつ,船橋,利実,ふなはし,としみつ,56,自民,公明,元,1,1,0,1,120987,46.52
北海道,1,北海道1区,道下 大樹,みちした だいき,道下,大樹,みちした,だいき,41,立憲,NA,新,0,1,1,0,139110,53.48
北海道,2,北海道2区,松木 謙公,まつき けんこう,松木,謙公,まつき,けんこう,58,希望,NA,前,4,1,0,0,74425,29.36
北海道,2,北海道2区,小和田 康文,こわだ やすふみ,小和田,康文,こわだ,やすふみ,47,維新,NA,新,0,1,0,0,21643,8.54
北海道,2,北海道2区,金倉 昌俊,かなくら まさとし,金倉,昌俊,かなくら,まさとし,43,共産,NA,新,0,1,0,0,52626,20.76
北海道,2,北海道2区,吉川 貴盛,よしかわ たかもり,吉川,貴盛,よしかわ,たかもり,67,自民,公明,前,5,1,1,0,104824,41.35
北海道,3,北海道3区,荒井 聰,あらい さとし,荒井,聰,あらい,さとし,71,立憲,NA,前,7,1,1,0,141680,54.36
北海道,3,北海道3区,高木 宏寿,たかぎ ひろひさ,高木,宏寿,たかぎ,ひろひさ,57,自民,公明,前,2,1,0,0,118961,45.64
北海道,4,北海道4区,本多 平直,ほんだ ひらなお,本多,平直,ほんだ,ひらなお,52,立憲,NA,元,2,1,0,1,90619,39.99
北海道,4,北海道4区,中村 裕之,なかむら ひろゆき,中村,裕之,なかむら,ひろゆき,56,自民,公明,前,2,1,1,0,104054,45.92
北海道,4,北海道4区,高橋 美穂,たかはし みほ,高橋,美穂,たかはし,みほ,52,希望,NA,元,1,1,0,0,31941,14.09
北海道,5,北海道5区,池田 真紀,いけだ まき,池田,真紀,いけだ,まき,45,立憲,NA,新,0,1,0,1,135948,47.49
北海道,5,北海道5区,森山 佳則,もりやま よしのり,森山,佳則,もりやま,よしのり,50,諸派,NA,新,0,0,0,0,7632,2.67
北海道,5,北海道5区,和田 義明,わだ よしあき,和田,義明,わだ,よしあき,46,自民,公明,前,1,1,1,0,142687,49.84
北海道,6,北海道6区,今津 寛,いまず ひろし,今津,寛,いまず,ひろし,71,自民,公明,前,7,1,0,0,113851,45.51
