block,party,rank,name,yomi,lastname,firstname,last_kana,first_kana,age,recommended,status,previous,dup_dist,win_smd,win_pr,loss_ratio
北海道ブロック,公明党,1,佐藤 英道,さとう ひでみち,佐藤,英道,さとう,ひでみち,57,NA,前,2,比例単独,0,1,NA
北海道ブロック,公明党,2,武田 久之,たけだ ひさゆき,武田,久之,たけだ,ひさゆき,53,NA,新,0,比例単独,0,0,NA
北海道ブロック,新党大地,1,鈴木 宗男,すずき むねお,鈴木,宗男,すずき,むねお,69,NA,元,8,比例単独,0,0,NA
北海道ブロック,新党大地,2,阿部 千里,あべ ちさと,阿部,千里,あべ,ちさと,27,NA,新,0,比例単独,0,0,NA
北海道ブロック,日本共産党,1,畠山 和也,はたやま かずや,畠山,和也,はたやま,かずや,46,NA,前,1,比例単独,0,0,NA
北海道ブロック,日本共産党,2,川部 竜二,かわべ りゅうじ,川部,竜二,かわべ,りゅうじ,46,NA,新,0,比例単独,0,0,NA
北海道ブロック,日本共産党,3,金倉 昌俊,かなくら まさとし,金倉,昌俊,かなくら,まさとし,43,NA,新,0,北海道2区,0,0,50.204
北海道ブロック,日本共産党,4,本間 勝美,ほんま かつみ,本間,勝美,ほんま,かつみ,49,NA,新,0,比例単独,0,0,NA
北海道ブロック,日本共産党,5,佐々木 明美,ささき あけみ,佐々木,明美,ささき,あけみ,56,NA,新,0,比例単独,0,0,NA
北海道ブロック,自由民主党,1,渡辺 孝一,わたなべ こういち,渡辺,孝一,わたなべ,こういち,59,NA,前,2,比例単独,0,1,NA
北海道ブロック,自由民主党,2,鈴木 貴子,すずき たかこ,鈴木,貴子,すずき,たかこ,31,NA,前,2,比例単独,0,1,NA
北海道ブロック,自由民主党,3,船橋 利実,ふなはし としみつ,船橋,利実,ふなはし,としみつ,56,公明,元,1,北海道1区,0,1,86.972
北海道ブロック,自由民主党,3,吉川 貴盛,よしかわ たかもり,吉川,貴盛,よしかわ,たかもり,67,公明,前,5,北海道2区,1,0,NA
北海道ブロック,自由民主党,3,高木 宏寿,たかぎ ひろひさ,高木,宏寿,たかぎ,ひろひさ,57,公明,前,2,北海道3区,0,0,83.964
北海道ブロック,自由民主党,3,中村 裕之,なかむら ひろゆき,中村,裕之,なかむら,ひろゆき,56,公明,前,2,北海道4区,1,0,NA
北海道ブロック,自由民主党,3,和田 義明,わだ よしあき,和田,義明,わだ,よしあき,46,公明,前,1,北海道5区,1,0,NA
北海道ブロック,自由民主党,3,今津 寛,いまず ひろし,今津,寛,いまず,ひろし,71,公明,前,7,北海道6区,0,0,83.522
北海道ブロック,自由民主党,3,伊東 良孝,いとう よしたか,伊東,良孝,いとう,よしたか,68,公明,前,3,北海道7区,1,0,NA
北海道ブロック,自由民主党,3,前田 一男,まえだ かずお,前田,一男,まえだ,かずお,51,公明,前,2,北海道8区,0,0,80.497
北海道ブロック,自由民主党,3,堀井 学,ほりい まなぶ,堀井,学,ほりい,まなぶ,45,公明,前,2,北海道9区,1,0,NA
北海道ブロック,自由民主党,3,中川 郁子,なかがわ ゆうこ,中川,郁子,なかがわ,ゆうこ,58,公明,前,2,北海道11区,0,0,83.588
北海道ブロック,自由民主党,3,武部 新,たけべ あらた,武部,新,たけべ,あらた,47,公明,前,2,北海道12区,1,0,NA
北海道ブロック,自由民主党,14,清水 誠一,しみず せいいち,清水,誠一,しみず,せいいち,68,NA,元,1,比例単独,0,0,NA
北海道ブロック,自由民主党,15,金沢 知歌子,かなざわ ちかこ,金沢,知歌子,かなざわ,ちかこ,52,NA,新,0,比例単独,0,0,NA
北海道ブロック,希望の党,1,松木 謙公,まつき けんこう,松木,謙公,まつき,けんこう,58,NA,前,4,北海道2区,0,0,70.999
