block,party,n_cand,pr_wins,smd_wins,votes,vshare
中国,ＮＨＫと裁判してる党弁護士法７２条違反で,1,0,0,36758,1.18
中国,れいわ新選組,1,0,0,94446,3.03
中国,公明党,3,2,0,436220,13.98
中国,国民民主党,1,0,0,113898,3.65
中国,日本共産党,2,0,0,173117,5.55
中国,日本維新の会,3,1,0,286302,9.18
中国,社会民主党,1,0,0,52638,1.69
中国,立憲民主党,18,2,1,573324,18.38
中国,自由民主党,22,6,14,1352723,43.36
九州,ＮＨＫと裁判してる党弁護士法７２条違反で,1,0,0,98506,1.56
九州,れいわ新選組,1,0,0,243284,3.86
九州,公明党,6,4,0,1040756,16.5
九州,国民民主党,3,1,1,279509,4.43
九州,日本共産党,4,1,1,365658,5.8
九州,日本維新の会,6,2,0,540338,8.57
九州,社会民主党,5,0,1,221221,3.51
九州,立憲民主党,25,4,6,1266801,20.09
九州,自由民主党,30,8,17,2250966,35.69
北海道,ＮＨＫと裁判してる党弁護士法７２条違反で,1,0,0,42916,1.67
北海道,れいわ新選組,1,0,0,102086,3.97
北海道,公明党,2,1,0,294371,11.46
北海道,国民民主党,1,0,0,73621,2.87
北海道,支持政党なし,2,0,0,46142,1.8
北海道,日本共産党,2,0,0,207189,8.06
北海道,日本維新の会,3,0,0,215344,8.38
北海道,社会民主党,1,0,0,41248,1.61
北海道,立憲民主党,15,3,5,682912,26.58
北海道,自由民主党,15,4,6,863300,33.6
北関東,ＮＨＫと裁判してる党弁護士法７２条違反で,1,0,0,87702,1.42
北関東,れいわ新選組,1,0,0,239592,3.88
北関東,公明党,4,3,0,823930,13.35
北関東,国民民主党,3,1,1,298036,4.83
北関東,日本共産党,3,1,0,444115,7.2
北関東,日本維新の会,9,2,0,617531,10.01
北関東,社会民主党,1,0,0,97963,1.59
北関東,立憲民主党,25,5,4,1391167,22.54
北関東,自由民主党,39,7,25,2172065,35.19
北陸信越,ＮＨＫと裁判してる党弁護士法７２条違反で,1,0,0,43529,1.24
北陸信越,れいわ新選組,1,0,0,111281,3.17
北陸信越,公明党,2,1,0,322535,9.19
北陸信越,国民民主党,1,0,0,133599,3.81
北陸信越,日本共産党,3,0,0,225551,6.42
北陸信越,日本維新の会,4,1,0,361476,10.3
北陸信越,社会民主党,1,0,0,71185,2.03
北陸信越,立憲民主党,15,3,4,773076,22.02
北陸信越,自由民主党,25,6,14,1468380,41.83
南関東,ＮＨＫと裁判してる党弁護士法７２条違反で,1,0,0,111298,1.5
南関東,れいわ新選組,2,1,0,302675,4.08
南関東,公明党,5,2,0,850667,11.47
南関東,国民民主党,3,1,0,384481,5.19
南関東,日本共産党,5,1,0,534493,7.21
南関東,日本維新の会,11,3,0,863897,11.65
南関東,社会民主党,1,0,0,124447,1.68
南関東,立憲民主党,30,5,11,1651562,22.28
南関東,自由民主党,35,9,19,2590787,34.94
四国,ＮＨＫと裁判してる党弁護士法７２条違反で,1,0,0,21285,1.25
四国,れいわ新選組,1,0,0,52941,3.12
四国,公明党,2,1,0,233407,13.74
四国,国民民主党,2,0,1,122082,7.19
四国,日本共産党,2,0,0,108021,6.36
四国,日本維新の会,3,1,0,173826,10.23
四国,社会民主党,1,0,0,30249,1.78
四国,立憲民主党,8,1,1,291870,17.18
四国,自由民主党,16,3,8,664805,39.14
東京,ＮＨＫと裁判してる党弁護士法７２条違反で,1,0,0,92353,1.43
東京,れいわ新選組,4,1,0,360387,5.59
東京,公明党,4,2,0,715450,11.1
東京,国民民主党,3,0,0,306179,4.75
東京,政権交代によるコロナ対策強化新党,5,NA,NA,6620,0.1
東京,新党やまと,4,0,0,16970,0.26
東京,日本共産党,7,2,0,670340,10.4
東京,日本第一党,4,0,0,33661,0.52
東京,日本維新の会,17,2,0,858577,13.32
東京,社会民主党,1,0,0,92995,1.44
東京,立憲民主党,23,4,8,1293281,20.06
東京,自由民主党,28,6,13,2000084,31.02
東北,ＮＨＫと裁判してる党弁護士法７２条違反で,1,0,0,52664,1.28
東北,れいわ新選組,1,0,0,143265,3.48
東北,公明党,3,1,0,456287,11.07
東北,国民民主党,2,0,0,195754,4.75
東北,日本共産党,3,1,0,292830,7.11
東北,日本維新の会,2,1,0,258690,6.28
東北,社会民主党,1,0,0,101442,2.46
東北,立憲民主党,20,4,7,991504,24.06
東北,自由民主党,25,6,15,1628233,39.51
東海,ＮＨＫと裁判してる党弁護士法７２条違反で,1,0,0,98238,1.46
東海,れいわ新選組,2,0,0,273208,4.06
東海,公明党,5,3,0,784976,11.67
東海,国民民主党,4,1,1,382733,5.69
東海,日本共産党,3,1,0,408606,6.07
東海,日本維新の会,8,2,0,694630,10.32
東海,社会民主党,1,0,0,84220,1.25
東海,立憲民主党,29,5,5,1485947,22.08
東海,自由民主党,35,9,22,2515841,37.39
近畿,ＮＨＫと裁判してる党弁護士法７２条違反で,1,0,0,111539,1.19
近畿,れいわ新選組,6,1,0,292483,3.12
近畿,公明党,8,3,0,1155683,12.32
近畿,国民民主党,4,1,2,303478,3.24
近畿,日本共産党,6,2,0,736156,7.85
近畿,日本維新の会,30,10,16,3180219,33.91
近畿,社会民主党,1,0,0,100980,1.08
近畿,立憲民主党,31,3,4,1090667,11.63
近畿,自由民主党,40,8,15,2407699,25.67
