block,party,rank,name,yomi,lastname,firstname,last_kana,first_kana,age,recommended,status,previous,dup,dup_dist,win_smd,win_pr,loss_ratio
北海道,共産党,1,畠山 和也,はたやま かずや,畠山,和也,はたやま,かずや,54,NA,元,1,0,比例単独,0,0,NA
北海道,国民民主党,1,臼木 秀剛,うすき ひでたけ,臼木,秀剛,うすき,ひでたけ,44,NA,前,1,1,北海道1区,0,1,25.869
北海道,国民民主党,2,鈴木 雅貴,すずき まさき,鈴木,雅貴,すずき,まさき,33,NA,新,0,0,比例単独,0,0,NA
北海道,中道改革連合,1,佐藤 英道,さとう ひでみち,佐藤,英道,さとう,ひでみち,65,NA,前,5,0,比例単独,0,1,NA
北海道,中道改革連合,2,浮島 智子,うきしま ともこ,浮島,智子,うきしま,ともこ,63,NA,前,5,0,比例単独,0,1,NA
北海道,中道改革連合,3,道下 大樹,みちした だいき,道下,大樹,みちした,だいき,50,NA,前,3,1,北海道1区,0,0,72.421
北海道,中道改革連合,3,松木 謙公,まつき けんこう,松木,謙公,まつき,けんこう,66,NA,前,7,1,北海道2区,0,0,71.006
北海道,中道改革連合,3,荒井 優,あらい ゆたか,荒井,優,あらい,ゆたか,50,NA,前,2,1,北海道3区,0,0,71.153
北海道,中道改革連合,3,大築 紅葉,おおつき くれは,大築,紅葉,おおつき,くれは,42,NA,前,2,1,北海道4区,0,0,79.045
北海道,中道改革連合,3,池田 真紀,いけだ まき,池田,真紀,いけだ,まき,53,NA,前,2,1,北海道5区,0,0,73.898
北海道,中道改革連合,3,西川 将人,にしかわ まさひと,西川,将人,にしかわ,まさひと,57,NA,前,1,1,北海道6区,0,0,65.927
北海道,中道改革連合,3,篠田 奈保子,しのだ なおこ,篠田,奈保子,しのだ,なおこ,54,NA,前,1,1,北海道7区,0,0,52.149
北海道,中道改革連合,3,逢坂 誠二,おおさか せいじ,逢坂,誠二,おおさか,せいじ,66,NA,前,6,1,北海道8区,0,0,80.871
北海道,中道改革連合,3,山岡 達丸,やまおか たつまる,山岡,達丸,やまおか,たつまる,46,NA,前,4,1,北海道9区,0,1,92.133
北海道,中道改革連合,3,神谷 裕,かみや ひろし,神谷,裕,かみや,ひろし,57,NA,前,3,1,北海道10区,1,0,NA
