"year","ku","kun","party","name","age","status","nocand","wl","rank","previous","vote","voteshare","eligible","turnout","exp","experience","expm"
2009,"aichi",1,"DPJ","SATO, YUKO",46,"challenger",5,"won",1,1,122348,54.4,369526,61.96,3559575,0,3.559575
2009,"aichi",1,"LDP","SHINODA, YOSUKE",36,"incumbent",5,"lost",2,1,78691,35,369526,61.96,9617887,1,9.617887
2009,"aichi",1,"JCP","KIMURA, EMI",59,"challenger",5,"lost",3,0,14485,6.4,369526,61.96,1802968,0,1.802968
2009,"aichi",1,"SDP","HIRAYAMA, RYOHEI",61,"challenger",5,"lost",4,0,6082,2.7,369526,61.96,1642095,0,1.642095
2009,"aichi",1,"H","KAWADA, SEIJI",42,"challenger",5,"lost",5,1,3352,1.5,369526,61.96,1772906,0,1.772906
2009,"aichi",2,"DPJ","FURUKAWA, MOTOHISA",43,"incumbent",4,"won",1,5,162237,66.6,378272,65.59,9329593,1,9.329593
2009,"aichi",2,"LDP","MIYAHARA, MISAKO",47,"challenger",4,"lost",2,0,58225,23.9,378272,65.59,11405740,0,11.40574
2009,"aichi",2,"JCP","SAITO, AIKO",53,"challenger",4,"lost",3,0,18908,7.8,378272,65.59,1689143,0,1.689143
2009,"aichi",2,"H","ISHIDA, AKIRA",67,"challenger",4,"lost",4,0,4187,1.7,378272,65.59,1618289,0,1.618289
2009,"aichi",3,"DPJ","KONDO, SHOICHI",51,"incumbent",4,"won",1,5,153735,62.2,381361,66.04,7901740,1,7.90174
2009,"aichi",3,"LDP","MAWATARI, TATSUHARU",52,"incumbent",4,"lost",2,1,68636,27.8,381361,66.04,11467040,1,11.46704
2009,"aichi",3,"JCP","MOTOMURA, NOBUKO",36,"challenger",4,"lost",3,0,21611,8.7,381361,66.04,1178780,0,1.17878
2009,"aichi",3,"H","HATTORI, TERUSHIGE",32,"challenger",4,"lost",4,0,3277,1.3,381361,66.04,1073723,0,1.073723
2009,"aichi",4,"DPJ","MAKI, YOSHIO",51,"incumbent",4,"won",1,4,129382,57.3,373755,61.72,6515760,1,6.51576
2009,"aichi",4,"LDP","FUJINO, MAKIKO",59,"incumbent",4,"lost",2,1,64367,28.5,373755,61.72,10593143,1,10.593143
2009,"aichi",4,"JCP","SEKO, YUKIKO",62,"ex",4,"lost",3,2,28826,12.8,373755,61.72,1782806,1,1.782806
